Timestamp,X(m/s^2),Y(m/s^2),Z(m/s^2),Label
2024-08-15 10:13:52.752,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:52.792,0.71,0.08,-9.45,Stationary
2024-08-15 10:13:52.820,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:52.824,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:52.830,0.63,0.16,-9.49,Stationary
2024-08-15 10:13:52.830,0.75,0.16,-9.41,Stationary
2024-08-15 10:13:52.836,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:52.837,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:52.864,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:52.866,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:52.874,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:52.881,0.71,0.2,-9.45,Stationary
2024-08-15 10:13:52.910,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:52.914,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:52.941,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:52.945,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:52.952,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:52.952,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:52.975,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:52.993,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:52.993,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:53.007,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:53.011,0.63,0.16,-9.45,Stationary
2024-08-15 10:13:53.044,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:53.048,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:53.054,0.75,0.12,-9.49,Stationary
2024-08-15 10:13:53.060,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:53.070,0.67,0.16,-9.38,Stationary
2024-08-15 10:13:53.100,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:53.103,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:53.111,0.71,0.12,-9.38,Stationary
2024-08-15 10:13:53.139,0.67,0.2,-9.45,Stationary
2024-08-15 10:13:53.143,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:53.150,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:53.174,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:53.178,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:53.186,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:53.195,0.75,0.12,-9.45,Stationary
2024-08-15 10:13:53.219,0.75,0.08,-9.45,Stationary
2024-08-15 10:13:53.224,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:53.232,0.67,0.08,-9.49,Stationary
2024-08-15 10:13:53.259,0.71,0.08,-9.41,Stationary
2024-08-15 10:13:53.264,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:53.264,0.63,0.16,-9.45,Stationary
2024-08-15 10:13:53.295,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:53.301,0.67,0.2,-9.49,Stationary
2024-08-15 10:13:53.301,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:53.330,0.67,0.08,-9.45,Stationary
2024-08-15 10:13:53.371,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:53.376,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:53.376,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:53.386,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:53.386,0.75,0.16,-9.45,Stationary
2024-08-15 10:13:53.393,0.67,0.08,-9.49,Stationary
2024-08-15 10:13:53.414,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:53.437,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:53.437,0.67,0.16,-9.38,Stationary
2024-08-15 10:13:53.446,0.71,0.2,-9.45,Stationary
2024-08-15 10:13:53.446,0.75,0.16,-9.49,Stationary
2024-08-15 10:13:53.474,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:53.478,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:53.486,0.71,0.2,-9.45,Stationary
2024-08-15 10:13:53.510,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:53.513,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:53.522,0.71,0.16,-9.53,Stationary
2024-08-15 10:13:53.529,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:53.556,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:53.560,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:53.567,0.63,0.12,-9.45,Stationary
2024-08-15 10:13:53.596,0.63,0.12,-9.45,Stationary
2024-08-15 10:13:53.602,0.67,0.2,-9.45,Stationary
2024-08-15 10:13:53.602,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:53.631,0.63,0.16,-9.49,Stationary
2024-08-15 10:13:53.635,0.63,0.12,-9.45,Stationary
2024-08-15 10:13:53.641,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:53.647,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:53.676,0.63,0.16,-9.38,Stationary
2024-08-15 10:13:53.715,0.78,0.16,-9.45,Stationary
2024-08-15 10:13:53.719,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:53.724,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:53.724,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:53.731,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:53.743,0.75,0.2,-9.41,Stationary
2024-08-15 10:13:53.746,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:53.776,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:53.779,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:53.786,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:53.792,0.63,0.12,-9.45,Stationary
2024-08-15 10:13:53.820,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:53.824,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:53.830,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:53.859,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:53.862,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:53.869,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:53.895,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:53.900,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:53.907,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:53.913,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:53.940,0.71,0.08,-9.49,Stationary
2024-08-15 10:13:53.944,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:53.990,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.014,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:54.014,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:54.021,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.021,0.63,0.16,-9.41,Stationary
2024-08-15 10:13:54.021,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.028,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.035,0.75,0.16,-9.41,Stationary
2024-08-15 10:13:54.060,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.111,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.115,0.63,0.16,-9.49,Stationary
2024-08-15 10:13:54.119,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:54.128,0.71,0.16,-9.49,Stationary
2024-08-15 10:13:54.128,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.128,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.129,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.158,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.159,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.166,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.196,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.200,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.214,0.63,0.16,-9.49,Stationary
2024-08-15 10:13:54.219,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.250,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.250,0.67,0.12,-9.53,Stationary
2024-08-15 10:13:54.256,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.262,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:54.288,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.292,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:54.300,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:54.325,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:54.329,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:54.335,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:54.364,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:54.367,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:54.374,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:54.400,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:54.405,0.67,0.2,-9.41,Stationary
