Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2),state
[2024-08-15 10:17:12.568] 0.63, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.568] 0.71, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.568] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.581] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.581] 0.71, 0.08, -9.41, Stationary
[2024-08-15 10:17:12.581] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.581] 0.67, 0.12, -9.38, Stationary
[2024-08-15 10:17:12.581] 0.67, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.581] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.581] 0.63, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.581] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.581] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.581] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.581] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.581] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.594] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.594] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.594] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.594] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.594] 0.63, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.602] 0.63, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.602] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.602] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.602] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.602] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.602] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.602] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.602] 0.71, 0.20, -9.53, Stationary
[2024-08-15 10:17:12.602] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.602] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.602] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.608] 0.71, 0.08, -9.41, Stationary
[2024-08-15 10:17:12.608] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.608] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.608] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.608] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.608] 0.75, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.630] 0.75, 0.20, -9.45, Stationary
[2024-08-15 10:17:12.630] 0.67, 0.20, -9.45, Stationary
[2024-08-15 10:17:12.630] 0.75, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.630] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.630] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.630] 0.71, 0.16, -9.53, Stationary
[2024-08-15 10:17:12.631] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.631] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.631] 0.71, 0.08, -9.45, Stationary
[2024-08-15 10:17:12.631] 0.63, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.631] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.641] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.641] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.641] 0.67, 0.08, -9.49, Stationary
[2024-08-15 10:17:12.641] 0.63, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.641] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.641] 0.67, 0.08, -9.49, Stationary
[2024-08-15 10:17:12.648] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.648] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.648] 0.63, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.648] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.648] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.648] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.648] 0.78, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.648] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.648] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.648] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.648] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.653] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.653] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.653] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.653] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.653] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.653] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.659] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.659] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.659] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.659] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.659] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.659] 0.67, 0.08, -9.41, Stationary
[2024-08-15 10:17:12.659] 0.75, 0.20, -9.49, Stationary
[2024-08-15 10:17:12.659] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.659] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.659] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.659] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.659] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.659] 0.71, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.659] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.659] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.659] 0.75, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.659] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.678] 0.75, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.678] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.678] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.678] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.678] 0.67, 0.20, -9.45, Stationary
[2024-08-15 10:17:12.678] 0.71, 0.16, -9.38, Stationary
[2024-08-15 10:17:12.678] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.678] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.678] 0.67, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.678] 0.71, 0.20, -9.45, Stationary
[2024-08-15 10:17:12.678] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.681] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.681] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.681] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.681] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.681] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.681] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.693] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.693] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.693] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.693] 0.67, 0.20, -9.45, Stationary
[2024-08-15 10:17:12.693] 0.75, 0.20, -9.41, Stationary
[2024-08-15 10:17:12.693] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.693] 0.71, 0.20, -9.49, Stationary
[2024-08-15 10:17:12.693] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.693] 0.75, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.693] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.693] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.693] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.693] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.693] 0.63, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.693] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.693] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.693] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.710] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.710] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.710] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.710] 0.75, 0.08, -9.45, Stationary
[2024-08-15 10:17:12.710] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.710] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.710] 0.71, 0.08, -9.41, Stationary
[2024-08-15 10:17:12.710] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.710] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.710] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.710] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.710] 0.75, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.713] 0.67, 0.20, -9.45, Stationary
[2024-08-15 10:17:12.713] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.713] 0.75, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.713] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.713] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.722] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.722] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.722] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.722] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.20, -9.45, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.08, -9.45, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.722] 0.75, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.722] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.722] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.741] 0.71, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.742] 0.71, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.742] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.742] 0.71, 0.20, -9.41, Stationary
[2024-08-15 10:17:12.742] 0.71, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.742] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.742] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.742] 0.67, 0.20, -9.41, Stationary
[2024-08-15 10:17:12.742] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.742] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.742] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.743] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.743] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.743] 0.63, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.743] 0.67, 0.16, -9.53, Stationary
[2024-08-15 10:17:12.743] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.743] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.754] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.754] 0.75, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.754] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.754] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.754] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.754] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.754] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.754] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.754] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.754] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.754] 0.71, 0.16, -9.41, Stationary
