Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2024-08-14 11:01:46.222,0.67,0.47,-9.45
2024-08-14 11:01:46.222,0.63,0.39,-9.38
2024-08-14 11:01:46.230,0.63,0.47,-9.38
2024-08-14 11:01:46.230,0.63,0.43,-9.41
2024-08-14 11:01:46.236,0.63,0.43,-9.41
2024-08-14 11:01:46.236,0.67,0.39,-9.34
2024-08-14 11:01:46.264,0.67,0.51,-9.41
2024-08-14 11:01:46.269,0.67,0.43,-9.45
2024-08-14 11:01:46.286,0.67,0.47,-9.45
2024-08-14 11:01:46.301,0.71,0.43,-9.49
2024-08-14 11:01:46.305,0.71,0.39,-9.41
2024-08-14 11:01:46.313,0.67,0.47,-9.34
2024-08-14 11:01:46.328,0.67,0.47,-9.41
2024-08-14 11:01:46.347,0.59,0.47,-9.49
2024-08-14 11:01:46.347,0.67,0.39,-9.49
2024-08-14 11:01:46.358,0.67,0.39,-9.45
2024-08-14 11:01:46.383,0.67,0.43,-9.41
2024-08-14 11:01:46.391,0.67,0.43,-9.45
2024-08-14 11:01:46.391,0.67,0.47,-9.41
2024-08-14 11:01:46.419,0.67,0.39,-9.41
2024-08-14 11:01:46.424,0.67,0.47,-9.41
2024-08-14 11:01:46.433,0.67,0.43,-9.41
2024-08-14 11:01:46.456,0.71,0.43,-9.38
2024-08-14 11:01:46.480,0.67,0.43,-9.41
2024-08-14 11:01:46.484,0.67,0.43,-9.45
2024-08-14 11:01:46.484,0.71,0.43,-9.49
2024-08-14 11:01:46.488,0.71,0.43,-9.53
2024-08-14 11:01:46.517,0.71,0.35,-9.45
2024-08-14 11:01:46.523,0.67,0.39,-9.38
2024-08-14 11:01:46.523,0.59,0.47,-9.41
2024-08-14 11:01:46.530,0.67,0.43,-9.45
2024-08-14 11:01:46.571,0.67,0.47,-9.41
2024-08-14 11:01:46.576,0.71,0.43,-9.41
2024-08-14 11:01:46.582,0.71,0.47,-9.49
2024-08-14 11:01:46.582,0.67,0.47,-9.41
2024-08-14 11:01:46.611,0.67,0.43,-9.45
2024-08-14 11:01:46.615,0.67,0.43,-9.45
2024-08-14 11:01:46.624,0.67,0.43,-9.45
2024-08-14 11:01:46.647,0.67,0.43,-9.49
2024-08-14 11:01:46.654,0.71,0.43,-9.49
2024-08-14 11:01:46.659,0.67,0.43,-9.41
2024-08-14 11:01:46.662,0.67,0.43,-9.45
2024-08-14 11:01:46.695,0.63,0.47,-9.41
2024-08-14 11:01:46.699,0.63,0.43,-9.45
2024-08-14 11:01:46.699,0.63,0.47,-9.45
2024-08-14 11:01:46.730,0.71,0.39,-9.41
2024-08-14 11:01:46.733,0.63,0.47,-9.41
2024-08-14 11:01:46.738,0.71,0.43,-9.41
2024-08-14 11:01:46.770,0.67,0.39,-9.45
2024-08-14 11:01:46.782,0.71,0.47,-9.41
2024-08-14 11:01:46.782,0.67,0.43,-9.38
2024-08-14 11:01:46.804,0.63,0.47,-9.41
2024-08-14 11:01:46.807,0.67,0.43,-9.49
2024-08-14 11:01:46.817,0.67,0.47,-9.45
2024-08-14 11:01:46.835,0.71,0.39,-9.45
2024-08-14 11:01:46.859,0.71,0.39,-9.41
2024-08-14 11:01:46.859,0.67,0.47,-9.45
2024-08-14 11:01:46.859,0.63,0.43,-9.41
2024-08-14 11:01:46.874,0.63,0.43,-9.45
2024-08-14 11:01:46.880,0.67,0.43,-9.41
2024-08-14 11:01:46.911,0.63,0.55,-9.41
2024-08-14 11:01:46.938,0.67,0.43,-9.41
2024-08-14 11:01:46.943,0.67,0.47,-9.41
2024-08-14 11:01:46.978,0.71,0.43,-9.45
2024-08-14 11:01:46.987,0.71,0.43,-9.41
2024-08-14 11:01:46.987,0.67,0.47,-9.45
2024-08-14 11:01:46.991,0.67,0.43,-9.41
2024-08-14 11:01:46.996,0.67,0.43,-9.45
2024-08-14 11:01:46.996,0.67,0.43,-9.41
2024-08-14 11:01:47.000,0.63,0.39,-9.41
2024-08-14 11:01:47.030,0.67,0.43,-9.49
2024-08-14 11:01:47.035,0.67,0.43,-9.41
2024-08-14 11:01:47.040,0.71,0.39,-9.41
2024-08-14 11:01:47.067,0.67,0.43,-9.41
2024-08-14 11:01:47.073,0.71,0.47,-9.41
2024-08-14 11:01:47.087,0.67,0.43,-9.45
2024-08-14 11:01:47.087,0.67,0.43,-9.45
2024-08-14 11:01:47.113,0.71,0.39,-9.45
2024-08-14 11:01:47.122,0.67,0.43,-9.45
2024-08-14 11:01:47.122,0.71,0.47,-9.45
2024-08-14 11:01:47.151,0.71,0.43,-9.41
