Timestamp (ms), X (m/s^2), Y (m/s^2), Z (m/s^2)
5073539, 0.71, 0.51, -9.41
5073551, 0.71, 0.51, -9.38
5073563, 0.78, 0.47, -9.45
5073575, 0.71, 0.43, -9.49
5073587, 0.67, 0.43, -9.41
5073599, 0.63, 0.47, -9.38
5073611, 0.71, 0.47, -9.49
5073623, 0.75, 0.51, -9.41
5073635, 0.67, 0.51, -9.49
5073647, 0.67, 0.43, -9.38
5073659, 0.71, 0.47, -9.45
5073671, 0.71, 0.51, -9.45
5073683, 0.67, 0.47, -9.41
5073695, 0.67, 0.47, -9.45
5073707, 0.67, 0.51, -9.41
5073719, 0.71, 0.47, -9.41
5073731, 0.67, 0.47, -9.45
5073743, 0.63, 0.51, -9.45
5073755, 0.67, 0.47, -9.45
5073767, 0.75, 0.47, -9.41
5073779, 0.71, 0.47, -9.41
5073791, 0.71, 0.47, -9.41
5073803, 0.71, 0.51, -9.41
5073815, 0.63, 0.51, -9.45
5073827, 0.67, 0.47, -9.49
5073839, 0.67, 0.47, -9.41
5073851, 0.71, 0.51, -9.41
5073863, 0.75, 0.47, -9.41
5073875, 0.75, 0.47, -9.53
5073887, 0.71, 0.51, -9.41
5073899, 0.71, 0.47, -9.41
5073911, 0.71, 0.43, -9.45
5073923, 0.67, 0.47, -9.49
5073935, 0.71, 0.47, -9.41
5073947, 0.71, 0.51, -9.49
5073959, 0.67, 0.47, -9.45
5073971, 0.67, 0.47, -9.38
5073983, 0.63, 0.47, -9.41
5073995, 0.71, 0.51, -9.38
5074007, 0.67, 0.51, -9.41
5074019, 0.67, 0.47, -9.45
5074031, 0.67, 0.47, -9.41
5074043, 0.67, 0.43, -9.41
5074055, 0.67, 0.51, -9.41
5074067, 0.67, 0.47, -9.45
5074079, 0.67, 0.47, -9.49
5074091, 0.71, 0.51, -9.45
5074103, 0.75, 0.47, -9.41
5074115, 0.63, 0.39, -9.45
5074127, 0.63, 0.47, -9.41
5074139, 0.59, 0.47, -9.41
5074151, 0.71, 0.43, -9.41
5074163, 0.71, 0.43, -9.45
5074175, 0.63, 0.47, -9.45
5074187, 0.67, 0.55, -9.49
5074199, 0.71, 0.51, -9.41
5074211, 0.71, 0.47, -9.41
5074223, 0.71, 0.47, -9.49
5074235, 0.71, 0.47, -9.45
5074247, 0.67, 0.47, -9.45
5074259, 0.67, 0.47, -9.41
5074271, 0.67, 0.47, -9.45
5074283, 0.63, 0.47, -9.41
5074295, 0.67, 0.51, -9.49
5074307, 0.67, 0.43, -9.45
5074319, 0.71, 0.51, -9.41
5074331, 0.71, 0.47, -9.41
5074343, 0.67, 0.47, -9.45
5074355, 0.71, 0.47, -9.49
5074367, 0.67, 0.43, -9.41
5074379, 0.63, 0.47, -9.41
5074391, 0.71, 0.47, -9.41
5074403, 0.67, 0.51, -9.38
5074415, 0.67, 0.47, -9.41
5074427, 0.67, 0.47, -9.45
5074439, 0.71, 0.51, -9.38
