Timestamp (ms), X (m/s^2), Y (m/s^2), Z (m/s^2)
1101637, 0.78, 0.47, -9.45
1101649, 0.67, 0.47, -9.41
1101661, 0.67, 0.47, -9.45
1101673, 0.71, 0.47, -9.45
1101685, 0.71, 0.51, -9.41
1101697, 0.67, 0.55, -9.41
1101709, 0.67, 0.47, -9.45
1101721, 0.67, 0.47, -9.41
1101733, 0.71, 0.43, -9.45
1101745, 0.67, 0.47, -9.45
1101757, 0.67, 0.47, -9.45
1101769, 0.67, 0.43, -9.41
1101781, 0.75, 0.43, -9.41
1101793, 0.67, 0.51, -9.41
1101805, 0.67, 0.51, -9.41
1101817, 0.67, 0.43, -9.45
1101829, 0.71, 0.47, -9.41
1101841, 0.67, 0.47, -9.49
1101853, 0.71, 0.47, -9.41
1101865, 0.71, 0.43, -9.41
1101877, 0.75, 0.47, -9.38
1101889, 0.67, 0.43, -9.41
1101901, 0.71, 0.47, -9.45
1101913, 0.67, 0.43, -9.49
1101925, 0.67, 0.47, -9.41
1101937, 0.67, 0.47, -9.41
1101949, 0.75, 0.47, -9.45
1101961, 0.75, 0.43, -9.49
1101973, 0.71, 0.47, -9.45
1101985, 0.75, 0.47, -9.45
1101997, 0.71, 0.51, -9.41
1102009, 0.67, 0.47, -9.49
1102021, 0.71, 0.47, -9.41
1102033, 0.71, 0.51, -9.41
1102045, 0.71, 0.47, -9.41
1102057, 0.71, 0.47, -9.45
1102069, 0.63, 0.43, -9.41
1102081, 0.67, 0.47, -9.45
1102093, 0.63, 0.51, -9.38
1102105, 0.67, 0.47, -9.34
1102429, 0.67, 0.51, -9.45
1102441, 0.67, 0.51, -9.41
1102453, 0.71, 0.47, -9.45
1102465, 0.67, 0.47, -9.41
1102477, 0.71, 0.47, -9.45
1102489, 0.71, 0.47, -9.38
1102501, 0.75, 0.47, -9.41
1102513, 0.71, 0.47, -9.41
1102525, 0.71, 0.47, -9.45
1102537, 0.75, 0.43, -9.45
1102549, 0.67, 0.47, -9.49
1102561, 0.67, 0.43, -9.45
1102573, 0.71, 0.47, -9.41
1102585, 0.67, 0.51, -9.38
1102597, 0.67, 0.47, -9.41
1102609, 0.71, 0.47, -9.49
1102621, 0.71, 0.47, -9.45
1102633, 0.67, 0.43, -9.49
1102645, 0.71, 0.51, -9.41
1102657, 0.71, 0.47, -9.41
1102669, 0.75, 0.47, -9.41
1102681, 0.63, 0.47, -9.45
1102693, 0.67, 0.47, -9.49
1102705, 0.71, 0.47, -9.49
1102717, 0.63, 0.47, -9.34
1102729, 0.75, 0.43, -9.45
1102741, 0.67, 0.47, -9.49
1102753, 0.67, 0.47, -9.41
1102765, 0.71, 0.47, -9.45
1102777, 0.67, 0.51, -9.41
1102789, 0.71, 0.43, -9.45
1102801, 0.71, 0.43, -9.45
1102813, 0.67, 0.47, -9.41
1102825, 0.67, 0.47, -9.41
1102837, 0.71, 0.39, -9.45
1102849, 0.67, 0.51, -9.38
1102861, 0.67, 0.43, -9.45
1102873, 0.67, 0.47, -9.45
1102885, 0.67, 0.47, -9.41
1102897, 0.67, 0.47, -9.41
1102909, 0.71, 0.43, -9.45
1102921, 0.67, 0.47, -9.41
1102933, 0.71, 0.47, -9.49
1102945, 0.78, 0.47, -9.45
1102957, 0.71, 0.47, -9.49
1102969, 0.71, 0.47, -9.41
