Timestamp (ms), X (m/s^2), Y (m/s^2), Z (m/s^2)
1086097, 0.71, 0.31, -9.41
1086109, 0.71, 0.35, -9.45
1086121, 0.71, 0.27, -9.41
1086133, 0.71, 0.31, -9.45
1086145, 0.71, 0.31, -9.34
1086157, 0.71, 0.35, -9.53
1086169, 0.63, 0.27, -9.38
1086181, 0.71, 0.31, -9.45
1086193, 0.71, 0.35, -9.41
1086205, 0.71, 0.35, -9.49
1086217, 0.67, 0.35, -9.45
1086229, 0.67, 0.35, -8.98
1086241, 0.82, 0.51, -10.79
1086253, 0.71, 0.39, -9.53
1086265, 0.71, 0.31, -9.22
1086277, 0.67, 0.35, -9.45
1086289, 0.71, 0.35, -9.53
1086301, 0.71, 0.27, -9.41
1086313, 0.71, 0.31, -9.49
1086325, 0.67, 0.39, -9.53
1086337, 0.75, 0.31, -9.45
1086349, 0.78, 0.47, -9.77
1086361, 0.75, 0.35, -9.92
1086373, 0.75, 0.31, -9.38
1086385, 0.71, 0.35, -9.34
1088257, 0.67, 0.31, -9.34
1088269, 0.71, 0.31, -9.34
1088281, 0.71, 0.31, -9.34
1088293, 0.75, 0.35, -9.41
1088305, 0.75, 0.35, -9.34
1088317, 0.75, 0.35, -9.30
1088329, 0.78, 0.39, -10.00
1088341, 0.75, 0.39, -9.65
1088353, 0.67, 0.35, -9.38
1088365, 0.71, 0.35, -9.49
1088377, 0.75, 0.35, -9.45
1088389, 0.67, 0.31, -9.45
1088401, 0.75, 0.35, -9.41
1088413, 0.75, 0.35, -9.49
1088425, 0.67, 0.39, -9.45
1088437, 0.71, 0.35, -9.41
1088449, 0.51, -0.12, -9.65
1088461, 0.67, 0.43, -9.89
1088473, 0.71, 0.39, -9.34
1088485, 0.75, 0.35, -9.45
1088497, 0.71, 0.31, -9.45
1089289, 0.71, 0.35, -9.38
1089301, 0.75, 0.35, -9.41
1089313, 0.75, 0.39, -9.38
1089325, 0.75, 0.35, -9.49
1089337, 0.75, 0.31, -9.45
1089349, 0.71, 0.31, -9.45
1089361, 0.67, 0.35, -9.41
1089373, 0.75, 0.35, -9.41
1089385, 0.71, 0.35, -9.45
1089397, 0.67, 0.35, -9.41
1089409, 0.71, 0.35, -9.41
1089421, 0.75, 0.31, -9.41
1089433, 0.75, 0.20, -9.10
1089445, 11.96, 4.04, -20.08
1089457, -14.40, -13.53, -10.16
1089469, -0.12, 0.00, -9.69
1089481, 1.37, -0.90, -9.22
1089493, 2.75, -2.82, -9.26
1089505, 1.14, 0.94, -9.30
1089517, 0.63, -0.04, -9.49
1089529, -0.67, 0.78, -9.81
1089541, -0.51, 1.06, -10.12
1089553, 2.20, 0.27, -8.67
1089565, 1.57, 1.14, -9.30
1089577, 1.14, -0.27, -7.96
1089589, 0.55, 0.39, -9.45
1089601, 0.71, 0.39, -9.41
1089613, 0.71, 0.39, -9.45
1089625, 0.75, 0.43, -9.38
1089637, 0.75, 0.39, -9.45
1095289, 0.67, 0.43, -9.45
1095301, 0.71, 0.43, -9.45
1095313, 0.71, 0.43, -9.38
1095325, 0.71, 0.43, -9.41
1095337, 0.71, 0.47, -9.45
1095349, 0.71, 0.47, -9.49
1095361, 0.71, 0.43, -9.41
1095373, 0.67, 0.47, -9.41
1095385, 0.71, 0.43, -9.38
1095397, 0.75, 0.39, -9.53
1095409, 0.67, 0.47, -9.38
1095421, 0.75, 0.47, -9.81
1095433, 0.71, 0.47, -9.49
1095445, 0.71, 0.43, -9.45
1095457, 0.75, 0.43, -9.45
1095469, 0.75, 0.43, -9.41
1095481, 0.71, 0.47, -9.41
1095493, 0.67, 0.47, -9.38
1095505, 0.67, 0.47, -9.38
1095517, 0.71, 0.47, -9.45
1095529, 0.67, 0.47, -9.45
1095541, 0.75, 0.43, -9.49
1095553, 0.71, 0.47, -9.38
1095565, 0.75, 0.43, -9.38
1095577, 0.67, 0.47, -9.49
1095589, 0.67, 0.51, -9.41
1095601, 0.75, 0.43, -9.45
1095613, 0.67, 0.51, -9.49
1095625, 0.67, 0.43, -9.45
1095637, 0.63, 0.43, -9.41
1095649, 0.63, 0.47, -9.41
1095661, 0.67, 0.51, -9.49
1095673, 0.71, 0.47, -9.38
1095685, 0.71, 0.51, -9.45
1095697, 0.75, 0.43, -9.45
1095709, 0.71, 0.47, -9.45
1096537, 0.71, 0.47, -9.41
1096549, 0.67, 0.47, -9.45
1096561, 0.67, 0.47, -9.49
1096573, 0.71, 0.43, -9.45
1096585, 0.75, 0.43, -9.41
1096597, 0.71, 0.43, -9.45
1096609, 0.67, 0.47, -9.45
1096621, 0.71, 0.51, -9.38
1096633, 0.71, 0.47, -9.41
1096645, 0.75, 0.47, -9.45
1096657, 0.75, 0.47, -9.45
1096669, 0.67, 0.43, -9.41
1096681, 0.75, 0.47, -9.45
1096693, 0.75, 0.47, -9.41
1096705, 0.67, 0.43, -9.41
1096717, 0.71, 0.43, -9.41
1096729, 0.67, 0.43, -9.41
1096741, 0.67, 0.43, -9.45
1096753, 0.75, 0.43, -9.45
1096765, 0.71, 0.47, -9.45
1096777, 0.67, 0.47, -9.41
1096789, 0.71, 0.43, -9.45
1096801, 0.71, 0.43, -9.41
