Timestamp (ms), X (m/s^2), Y (m/s^2), Z (m/s^2)
744905, 0.67, 0.39, -9.45
744917, 0.67, 0.39, -9.45
744929, 0.71, 0.39, -9.41
744941, 0.63, 0.39, -9.45
744953, 0.71, 0.35, -9.45
744965, 0.63, 0.35, -9.41
744977, 0.71, 0.35, -9.38
744989, 0.71, 0.39, -9.49
745001, 0.71, 0.39, -9.45
745013, 0.67, 0.39, -9.45
745025, 0.67, 0.39, -9.49
745037, 0.71, 0.39, -9.41
745049, 0.71, 0.35, -9.49
745061, 0.67, 0.39, -9.45
745073, 0.67, 0.35, -9.45
745085, 0.67, 0.35, -9.41
745097, 0.63, 0.35, -9.45
745109, 0.67, 0.35, -9.41
745121, 0.67, 0.35, -9.45
745133, 0.67, 0.39, -9.41
745145, 0.67, 0.35, -9.41
745157, 0.71, 0.39, -9.45
745169, 0.71, 0.39, -9.49
745181, 0.71, 0.39, -9.45
745193, 0.67, 0.35, -9.45
745205, 0.67, 0.35, -9.45
745217, 0.67, 0.39, -9.49
745229, 0.71, 0.39, -9.41
745241, 0.71, 0.39, -9.41
745253, 0.67, 0.35, -9.53
745265, 0.63, 0.39, -9.45
745277, 0.71, 0.39, -9.49
745289, 0.63, 0.35, -9.41
745301, 0.67, 0.39, -9.45
745313, 0.67, 0.35, -9.41
745325, 0.67, 0.39, -9.45
745337, 0.63, 0.39, -9.45
745349, 0.67, 0.39, -9.41
745361, 0.71, 0.39, -9.41
745373, 0.71, 0.31, -9.45
745385, 0.71, 0.35, -9.45
745397, 0.71, 0.35, -9.45
745409, 0.71, 0.35, -9.45
745421, 0.71, 0.35, -9.41
745433, 0.71, 0.35, -9.45
745445, 0.67, 0.35, -9.49
745457, 0.71, 0.35, -9.45
