Timestamp (ms), X (m/s^2), Y (m/s^2), Z (m/s^2)
423177, 0.67, 0.43, -9.53
423189, 0.67, 0.43, -9.38
423201, 0.71, 0.43, -9.38
423213, 0.67, 0.43, -9.41
423225, 0.67, 0.43, -9.41
423237, 0.71, 0.43, -9.41
423249, 0.71, 0.43, -9.45
423261, 0.71, 0.43, -9.41
423273, 0.71, 0.39, -9.45
423285, 0.71, 0.39, -9.45
423297, 0.71, 0.39, -9.41
423309, 0.67, 0.39, -9.45
423321, 0.67, 0.47, -9.45
423333, 0.67, 0.35, -9.41
423345, 0.71, 0.39, -9.45
423357, 0.63, 0.43, -9.41
423369, 0.71, 0.39, -9.45
423381, 0.71, 0.43, -9.41
423393, 0.71, 0.43, -9.49
423405, 0.67, 0.39, -9.45
423417, 0.67, 0.43, -9.45
423446, 0.67, 0.39, -9.49
423458, 0.63, 0.47, -9.49
423470, 0.67, 0.43, -9.45
423482, 0.67, 0.47, -9.45
423494, 0.59, 0.39, -9.49
423506, 0.63, 0.39, -9.41
423518, 0.67, 0.47, -9.45
423530, 0.71, 0.47, -9.41
423542, 0.67, 0.43, -9.41
423554, 0.67, 0.43, -9.45
423566, 0.67, 0.43, -9.45
423578, 0.71, 0.39, -9.41
423590, 0.67, 0.43, -9.45
423602, 0.71, 0.43, -9.45
423614, 0.75, 0.39, -9.45
423626, 0.63, 0.43, -9.45
423638, 0.67, 0.43, -9.45
423650, 0.63, 0.43, -9.45
423662, 0.63, 0.43, -9.45
423674, 0.63, 0.39, -9.45
423686, 0.67, 0.39, -9.45
423698, 0.67, 0.39, -9.41
423710, 0.63, 0.43, -9.45
423722, 0.67, 0.43, -9.45
423734, 0.67, 0.39, -9.49
423746, 0.71, 0.43, -9.45
