Timestamp (ms), X (m/s^2), Y (m/s^2), Z (m/s^2)
136041, 0.63, 0.51, -9.41
136053, 0.63, 0.51, -9.45
136065, 0.63, 0.55, -9.45
136077, 0.67, 0.51, -9.41
136089, 0.63, 0.51, -9.45
136101, 0.63, 0.59, -9.41
136113, 0.67, 0.51, -9.41
136125, 0.59, 0.55, -9.45
136137, 0.63, 0.55, -9.34
136149, 0.67, 0.55, -9.45
136161, 0.59, 0.59, -9.41
136173, 0.71, 0.55, -9.38
136185, 0.63, 0.55, -9.49
136197, 0.63, 0.51, -9.45
136209, 0.63, 0.51, -9.41
136221, 0.63, 0.51, -9.49
136233, 0.67, 0.55, -9.41
136245, 0.59, 0.51, -9.41
136257, 0.63, 0.51, -9.41
136269, 0.67, 0.51, -9.45
136281, 0.67, 0.55, -9.45
136293, 0.63, 0.51, -9.41
136305, 0.67, 0.51, -9.45
136317, 0.63, 0.55, -9.38
136329, 0.63, 0.51, -9.41
136341, 0.63, 0.55, -9.41
136353, 0.59, 0.51, -9.41
136365, 0.67, 0.51, -9.45
136377, 0.63, 0.51, -9.41
136389, 0.67, 0.55, -9.41
136401, 0.67, 0.55, -9.45
136413, 0.63, 0.51, -9.41
136425, 0.59, 0.47, -9.45
136437, 0.59, 0.55, -9.41
136449, 0.63, 0.59, -9.38
136461, 0.63, 0.55, -9.49
136473, 0.71, 0.59, -9.41
136485, 0.63, 0.55, -9.41
136497, 0.67, 0.55, -9.45
136509, 0.63, 0.59, -9.49
136521, 0.63, 0.59, -9.45
136533, 0.59, 0.55, -9.38
136545, 0.67, 0.51, -9.41
136557, 0.67, 0.51, -9.41
136569, 0.63, 0.47, -9.41
136581, 0.63, 0.51, -9.41
136593, 0.67, 0.51, -9.41
136605, 0.67, 0.59, -9.41
136617, 0.63, 0.59, -9.41
