Timestamp (ms), X (m/s^2), Y (m/s^2), Z (m/s^2)
150412, 0.94, -0.35, -9.45
150424, 0.94, -0.31, -9.45
150436, 0.90, -0.39, -9.45
150448, 0.94, -0.39, -9.45
150460, 0.90, -0.35, -9.49
150472, 0.94, -0.39, -9.45
150484, 0.94, -0.35, -9.53
150496, 1.02, -0.39, -9.41
150508, 0.90, -0.39, -9.45
150520, 0.90, -0.35, -9.49
150532, 0.90, -0.39, -9.49
150544, 0.94, -0.35, -9.41
150556, 0.94, -0.35, -9.49
150568, 0.86, -0.35, -9.45
150580, 0.90, -0.39, -9.45
150592, 0.90, -0.39, -9.49
150604, 0.90, -0.35, -9.45
150616, 0.94, -0.31, -9.41
150628, 0.94, -0.39, -9.45
150640, 0.90, -0.35, -9.49
150652, 0.90, -0.35, -9.45
150664, 0.90, -0.43, -9.49
150676, 0.94, -0.35, -9.49
150688, 0.90, -0.35, -9.41
150700, 0.90, -0.35, -9.45
150712, 0.86, -0.31, -9.45
150724, 0.90, -0.31, -9.41
150736, 0.94, -0.39, -9.45
150748, 0.94, -0.35, -9.53
150760, 0.90, -0.43, -9.45
150772, 0.90, -0.31, -9.45
150784, 0.90, -0.35, -9.41
150796, 0.98, -0.39, -9.53
150808, 0.94, -0.39, -9.38
150820, 0.90, -0.39, -9.45
150832, 0.90, -0.35, -9.45
150844, 0.90, -0.35, -9.45
150856, 0.94, -0.43, -9.45
150868, 0.90, -0.39, -9.45
150880, 0.98, -0.35, -9.41
150892, 0.94, -0.39, -9.45
150904, 0.94, -0.39, -9.45
150916, 0.86, -0.31, -9.49
150928, 0.90, -0.31, -9.49
150940, 0.90, -0.35, -9.49
150952, 0.94, -0.39, -9.45
150964, 0.90, -0.35, -9.45
150976, 0.90, -0.31, -9.45
150988, 0.94, -0.39, -9.49
151000, 0.90, -0.39, -9.41
151012, 0.90, -0.31, -9.41
151024, 0.90, -0.35, -9.49
151036, 0.90, -0.27, -9.41
151048, 0.98, -0.39, -9.49
151060, 0.90, -0.35, -9.49
151072, 0.90, -0.35, -9.41
151084, 0.94, -0.31, -9.41
151096, 0.94, -0.39, -9.45
151108, 0.90, -0.39, -9.49
151120, 0.90, -0.31, -9.49
151132, 0.86, -0.35, -9.49
151144, 0.86, -0.35, -9.41
151156, 0.94, -0.39, -9.45
151168, 0.90, -0.39, -9.45
151180, 0.94, -0.35, -9.49
151192, 0.90, -0.39, -9.45
151204, 0.94, -0.39, -9.45
151216, 0.94, -0.39, -9.45
151228, 0.90, -0.39, -9.53
151240, 0.90, -0.39, -9.53
