Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
916442,0.20,0.04,-9.53
916454,0.20,0.00,-9.61
916466,0.20,0.00,-9.49
916478,0.20,0.00,-9.57
916490,0.24,0.00,-9.53
916502,0.20,0.00,-9.57
916514,0.20,0.00,-9.53
916526,0.16,0.00,-9.49
916538,0.24,0.00,-9.57
916550,0.20,0.00,-9.57
916562,0.16,0.00,-9.57
916574,0.24,0.00,-9.57
916586,0.20,-0.04,-9.53
916598,0.16,0.00,-9.49
916610,0.20,0.00,-9.57
916622,0.20,0.00,-9.57
916634,0.24,0.00,-9.53
916646,0.20,0.00,-9.57
916658,0.16,0.00,-9.57
916670,0.16,0.00,-9.57
916682,0.16,0.00,-9.53
916694,0.16,0.00,-9.53
916706,0.16,-0.04,-9.53
916718,0.20,0.00,-9.57
916730,0.20,0.00,-9.49
916742,0.20,-0.04,-9.53
916754,0.20,0.00,-9.49
916766,0.16,0.00,-9.53
916778,0.20,0.00,-9.53
916790,0.20,0.00,-9.53
916802,0.24,0.00,-9.57
916814,0.20,-0.04,-9.53
916826,0.20,0.00,-9.53
916838,0.20,0.00,-9.53
916850,0.27,-0.04,-9.53
916862,0.20,0.00,-9.57
916874,0.20,0.00,-9.57
916886,0.20,0.00,-9.57
916898,0.20,0.00,-9.53
916910,0.24,0.00,-9.57
916922,0.16,0.00,-9.57
916934,0.24,-0.04,-9.57
916946,0.24,-0.04,-9.57
916958,0.16,0.00,-9.61
916970,0.20,0.00,-9.53
916982,0.16,0.00,-9.57
916994,0.16,0.00,-9.57
917006,0.20,0.00,-9.57
917018,0.20,0.00,-9.49
917030,0.20,0.00,-9.57
917042,0.16,0.00,-9.53
917054,0.20,0.00,-9.53
917066,0.20,0.00,-9.57
917078,0.20,0.00,-9.49
917090,0.20,0.00,-9.49
917102,0.20,0.00,-9.49
917114,0.20,0.00,-9.53
917126,0.20,0.00,-9.49
917138,0.20,0.00,-9.57
917150,0.20,0.00,-9.53
917162,0.16,0.04,-9.53
917174,0.20,0.00,-9.53
917186,0.24,0.00,-9.53
917198,0.16,0.00,-9.49
917210,0.20,0.00,-9.53
917222,0.20,0.00,-9.53
917234,0.20,0.00,-9.57
917246,0.24,0.00,-9.57
917258,0.16,0.04,-9.49
917270,0.20,0.00,-9.49
