Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
2577290,0.20,0.00,-9.57
2577302,0.20,0.00,-9.57
2577314,0.16,0.04,-9.57
2577326,0.20,0.00,-9.57
2577338,0.20,0.04,-9.49
2577350,0.20,0.04,-9.57
2577362,0.20,0.00,-9.53
2577374,0.20,0.00,-9.53
2577386,0.20,0.04,-9.57
2577398,0.20,0.00,-9.49
2577410,0.20,0.04,-9.53
2577422,0.16,0.00,-9.57
2577434,0.20,-0.04,-9.53
2577446,0.20,0.04,-9.57
2577458,0.20,0.00,-9.49
2577470,0.24,0.00,-9.49
2577482,0.20,0.04,-9.53
2577494,0.16,0.04,-9.49
2577506,0.24,0.00,-9.53
2577518,0.16,0.00,-9.49
2577530,0.16,0.00,-9.53
2577542,0.16,0.00,-9.57
2577554,0.16,0.04,-9.57
2577566,0.20,0.00,-9.57
2577578,0.20,0.00,-9.57
2577590,0.24,0.04,-9.57
2577602,0.20,0.00,-9.57
2577614,0.20,0.00,-9.53
2577626,0.16,0.00,-9.53
2577638,0.20,0.00,-9.57
2577650,0.24,0.04,-9.61
2577662,0.20,0.00,-9.61
2577674,0.20,0.00,-9.61
2577686,0.20,0.00,-9.53
2577698,0.20,0.04,-9.57
2577710,0.20,0.00,-9.53
2577722,0.16,0.00,-9.61
2577734,0.20,0.00,-9.57
2577746,0.20,0.00,-9.53
2577758,0.24,0.00,-9.57
2577770,0.20,0.04,-9.57
2577782,0.16,0.00,-9.53
2577794,0.16,0.04,-9.53
2577806,0.20,0.00,-9.49
2577818,0.20,0.00,-9.53
2577830,0.20,0.00,-9.49
2577842,0.20,0.00,-9.49
2577854,0.20,0.00,-9.57
2577866,0.20,0.04,-9.53
2577878,0.20,0.04,-9.57
2577890,0.24,0.04,-9.53
2577902,0.24,0.00,-9.53
2577914,0.20,0.00,-9.57
2577926,0.16,0.00,-9.57
2577938,0.20,0.04,-9.57
2577950,0.20,0.04,-9.53
2577962,0.20,0.00,-9.57
2577974,0.20,0.00,-9.53
2577986,0.16,-0.04,-9.53
2577998,0.16,0.00,-9.53
2578010,0.16,0.00,-9.53
2578022,0.20,0.00,-9.53
2578034,0.16,0.00,-9.53
2578046,0.20,0.00,-9.45
2578058,0.16,0.04,-9.49
2578070,0.20,0.00,-9.53
2578082,0.20,0.00,-9.49
2578094,0.16,0.04,-9.53
2578106,0.16,0.00,-9.53
2578118,0.16,0.00,-9.53
2578130,0.16,0.00,-9.57
2578142,0.20,0.00,-9.45
2578154,0.16,0.00,-9.53
2578166,0.20,0.00,-9.57
2578178,0.16,0.00,-9.57
2578190,0.20,0.04,-9.49
2578202,0.20,0.00,-9.49
2578214,0.20,-0.04,-9.53
2578226,0.20,-0.04,-9.57
2578238,0.24,-0.04,-9.53
2578250,0.20,0.00,-9.53
2578262,0.20,0.04,-9.53
2578274,0.20,-0.04,-9.57
2578286,0.16,0.00,-9.57
2578298,0.20,0.00,-9.57
2578310,0.16,0.00,-9.61
2578322,0.20,0.04,-9.57
2578334,0.16,0.00,-9.53
2578346,0.20,0.00,-9.53
