Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
3046082,0.16,0.00,-9.45
3046094,0.20,0.04,-9.57
3046106,0.16,0.00,-9.49
3046118,0.16,0.00,-9.53
3046130,0.16,0.04,-9.61
3046142,0.16,0.04,-9.57
3046154,0.20,0.04,-9.49
3046166,0.20,0.00,-9.53
3046178,0.20,0.00,-9.49
3046190,0.20,0.00,-9.49
3046202,0.20,0.00,-9.53
3046214,0.20,0.00,-9.49
3046226,0.20,0.04,-9.61
3046238,0.24,0.00,-9.53
3046250,0.16,0.04,-9.57
3046262,0.20,0.04,-9.61
3046274,0.16,0.04,-9.53
3046286,0.20,0.00,-9.53
3046298,0.24,0.00,-9.49
3046310,0.24,0.04,-9.53
3046322,0.20,0.00,-9.49
3046334,0.20,0.00,-9.57
3046346,0.24,0.00,-9.53
3046358,0.20,0.00,-9.57
3046370,0.20,0.00,-9.49
3046382,0.16,0.04,-9.53
3046394,0.16,0.04,-9.57
3046406,0.20,0.00,-9.57
3046418,0.20,0.04,-9.53
3046430,0.20,0.00,-9.49
3046442,0.20,0.00,-9.49
3046454,0.16,0.00,-9.53
3046466,0.24,-0.04,-9.49
3046478,0.20,0.00,-9.53
3046490,0.20,0.04,-9.53
3046502,0.16,0.04,-9.49
3046514,0.20,0.04,-9.53
3046526,0.16,0.04,-9.57
3046538,0.16,0.04,-9.53
3046550,0.20,0.00,-9.53
3046562,0.20,0.00,-9.57
3046574,0.24,0.04,-9.53
3046586,0.20,0.04,-9.53
3046598,0.16,0.00,-9.49
3046610,0.20,0.00,-9.49
3046622,0.20,0.00,-9.53
3046634,0.20,0.04,-9.49
3046646,0.24,0.04,-9.53
3046658,0.20,0.04,-9.57
3046670,0.16,0.00,-9.53
3046682,0.20,0.04,-9.57
3046694,0.20,0.04,-9.49
3046706,0.24,0.04,-9.53
3046718,0.20,0.00,-9.57
3046730,0.20,0.00,-9.57
3046742,0.16,0.00,-9.53
3046754,0.16,0.04,-9.57
3046766,0.20,0.04,-9.53
3046778,0.20,0.08,-9.53
3046790,0.20,0.04,-9.57
3046802,0.20,0.04,-9.53
3046814,0.20,0.00,-9.49
3046826,0.20,0.00,-9.49
3046838,0.20,0.00,-9.49
3046850,0.20,0.00,-9.53
3046862,0.24,0.00,-9.49
3046874,0.20,0.04,-9.53
3046886,0.20,0.04,-9.53
3046898,0.24,0.00,-9.57
3046910,0.24,0.00,-9.53
3046922,0.20,0.04,-9.57
3046934,0.16,0.00,-9.57
3046946,0.20,0.00,-9.53
3046958,0.20,0.00,-9.57
