,mean_z,std_z,min_z,max_z,rms_z,skew_z,kurtosis_z,fft_max_z,psd_z,dominant_freq_z,label_numeric
mean_z,1.0,0.2239221391089172,0.8815776868875822,0.9154868215191266,-0.9998154338055975,-0.03556643362977322,-0.0150275931484391,-0.9999999999999998,0.21970010890219688,0.004229585715499754,0.15215673807688326
std_z,0.2239221391089172,1.0,-0.24926706341917784,0.5864038940855932,-0.20756623086224982,0.005763702925771629,0.005395710039373883,-0.2239221391089171,0.8603000249916516,0.03835802142868298,0.3864322205041467
min_z,0.8815776868875822,-0.24926706341917784,1.0,0.635854193177976,-0.8890879381513459,-0.009394376311427734,-0.02131900229996362,-0.8815776868875818,-0.18728486125877009,-0.013279289515742441,-0.03523215171539543
max_z,0.9154868215191266,0.5864038940855932,0.635854193177976,1.0,-0.9087388620378788,-0.003592257536245122,-0.006626932713129235,-0.9154868215191264,0.528174739559575,0.01795933327029883,0.282556373911692
rms_z,-0.9998154338055975,-0.20756623086224982,-0.8890879381513459,-0.9087388620378788,1.0,0.03585426000118112,0.014930620633486671,0.9998154338055967,-0.20301348034200034,-0.004292507511914143,-0.1482338996270404
skew_z,-0.03556643362977322,0.005763702925771629,-0.009394376311427734,-0.003592257536245122,0.03585426000118112,1.0,-0.004737983769580585,0.03556643362977339,0.004062422208846003,0.00893716829242178,0.012839732903652408
kurtosis_z,-0.0150275931484391,0.005395710039373883,-0.02131900229996362,-0.006626932713129235,0.014930620633486671,-0.004737983769580585,1.0,0.015027593148438996,-0.007699972134412104,-0.41231112358467076,0.02377818596154122
fft_max_z,-0.9999999999999998,-0.2239221391089171,-0.8815776868875818,-0.9154868215191264,0.9998154338055967,0.03556643362977339,0.015027593148438996,1.0,-0.21970010890219682,-0.00422958571549972,-0.15215673807688326
psd_z,0.21970010890219688,0.8603000249916516,-0.18728486125877009,0.528174739559575,-0.20301348034200034,0.004062422208846003,-0.007699972134412104,-0.21970010890219682,1.0,0.004128278144712979,0.2218660825316832
dominant_freq_z,0.004229585715499754,0.03835802142868298,-0.013279289515742441,0.01795933327029883,-0.004292507511914143,0.00893716829242178,-0.41231112358467076,-0.00422958571549972,0.004128278144712979,1.0,0.09103842531610792
label_numeric,0.15215673807688326,0.3864322205041467,-0.03523215171539543,0.282556373911692,-0.1482338996270404,0.012839732903652408,0.02377818596154122,-0.15215673807688326,0.2218660825316832,0.09103842531610792,1.0
