Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
1973474,0.20,0.00,-9.49
1973486,0.16,0.04,-9.53
1973498,0.24,0.00,-9.53
1973510,0.20,0.04,-9.49
1973522,0.20,0.00,-9.53
1973534,0.16,0.00,-9.57
1973546,0.20,0.00,-9.57
1973558,0.20,0.04,-9.53
1973570,0.16,0.04,-9.57
1973582,0.20,0.00,-9.53
1973594,0.24,0.04,-9.49
1973606,0.16,-0.04,-9.57
1973618,0.20,0.00,-9.53
1973630,0.16,0.00,-9.61
1973642,0.20,0.00,-9.49
1973654,0.27,0.04,-9.53
1973666,0.20,0.00,-9.57
1973678,0.20,0.00,-9.53
1973690,0.24,0.00,-9.57
1973702,0.27,0.00,-9.49
1973714,0.20,0.00,-9.49
1973726,0.20,0.00,-9.57
1973738,0.16,0.04,-9.57
1973750,0.24,0.00,-9.53
1973762,0.20,0.00,-9.53
1973774,0.24,0.00,-9.57
1973786,0.20,0.00,-9.53
1973798,0.20,0.00,-9.57
1973810,0.20,0.00,-9.57
1973822,0.16,0.04,-9.53
1973834,0.20,0.00,-9.49
1973846,0.20,0.00,-9.57
1973858,0.16,0.04,-9.57
1973870,0.20,0.00,-9.49
1973882,0.16,0.00,-9.53
1973894,0.20,0.04,-9.57
1973906,0.16,0.00,-9.61
1973918,0.24,0.00,-9.53
1973930,0.20,0.00,-9.53
1973942,0.20,0.04,-9.57
1973954,0.20,0.04,-9.57
1973966,0.24,0.04,-9.53
1973978,0.20,0.00,-9.53
1973990,0.24,0.00,-9.57
1974002,0.20,0.00,-9.53
1974014,0.20,0.00,-9.53
1974026,0.24,0.00,-9.53
1974038,0.20,0.04,-9.53
1974050,0.20,-0.04,-9.53
1974062,0.20,0.00,-9.49
1974074,0.24,0.04,-9.45
1974086,0.24,0.04,-9.53
1974098,0.20,0.00,-9.57
1974110,0.20,0.00,-9.53
1974122,0.20,0.04,-9.57
1974134,0.20,0.04,-9.57
1974146,0.20,0.04,-9.53
1974158,0.16,0.00,-9.53
1974170,0.16,0.04,-9.57
1974182,0.16,0.04,-9.53
1974194,0.20,0.04,-9.57
1974206,0.20,0.00,-9.53
1974218,0.20,0.00,-9.57
1974230,0.16,0.00,-9.53
1974242,0.20,0.04,-9.57
1974254,0.16,0.00,-9.49
1974266,0.20,0.00,-9.49
1974278,0.20,0.00,-9.53
1974290,0.12,0.04,-9.49
1974302,0.24,0.00,-9.57
1974314,0.20,0.00,-9.53
1974326,0.20,0.04,-9.53
