Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2),Person_ID,Label,Smoothed_Label
3046082,0.16,0.0,-9.45,Person_1,Static,Static
3046094,0.2,0.04,-9.57,Person_1,Static,Static
3046106,0.16,0.0,-9.49,Person_1,Static,Static
3046118,0.16,0.0,-9.53,Person_1,Static,Static
3046130,0.16,0.04,-9.61,Person_1,Static,Static
3046142,0.16,0.04,-9.57,Person_1,Static,Static
3046154,0.2,0.04,-9.49,Person_1,Static,Static
3046166,0.2,0.0,-9.53,Person_1,Static,Static
3046178,0.2,0.0,-9.49,Person_1,Static,Static
3046190,0.2,0.0,-9.49,Person_1,Static,Static
3046202,0.2,0.0,-9.53,Person_1,Static,Static
3046214,0.2,0.0,-9.49,Person_1,Static,Static
3046226,0.2,0.04,-9.61,Person_1,Static,Static
3046238,0.24,0.0,-9.53,Person_1,Static,Static
3046250,0.16,0.04,-9.57,Person_1,Static,Static
3046262,0.2,0.04,-9.61,Person_1,Static,Static
3046274,0.16,0.04,-9.53,Person_1,Static,Static
3046286,0.2,0.0,-9.53,Person_1,Static,Static
3046298,0.24,0.0,-9.49,Person_1,Static,Static
3046310,0.24,0.04,-9.53,Person_1,Static,Static
3046322,0.2,0.0,-9.49,Person_1,Static,Static
3046334,0.2,0.0,-9.57,Person_1,Static,Static
3046346,0.24,0.0,-9.53,Person_1,Static,Static
3046358,0.2,0.0,-9.57,Person_1,Static,Static
3046370,0.2,0.0,-9.49,Person_1,Static,Static
3046382,0.16,0.04,-9.53,Person_1,Static,Static
3046394,0.16,0.04,-9.57,Person_1,Static,Static
3046406,0.2,0.0,-9.57,Person_1,Static,Static
3046418,0.2,0.04,-9.53,Person_1,Static,Static
3046430,0.2,0.0,-9.49,Person_1,Static,Static
3046442,0.2,0.0,-9.49,Person_1,Static,Static
3046454,0.16,0.0,-9.53,Person_1,Static,Static
3046466,0.24,-0.04,-9.49,Person_1,Static,Static
3046478,0.2,0.0,-9.53,Person_1,Static,Static
3046490,0.2,0.04,-9.53,Person_1,Static,Static
3046502,0.16,0.04,-9.49,Person_1,Static,Static
3046514,0.2,0.04,-9.53,Person_1,Static,Static
3046526,0.16,0.04,-9.57,Person_1,Static,Static
3046538,0.16,0.04,-9.53,Person_1,Static,Static
3046550,0.2,0.0,-9.53,Person_1,Static,Static
3046562,0.2,0.0,-9.57,Person_1,Static,Static
3046574,0.24,0.04,-9.53,Person_1,Static,Static
3046586,0.2,0.04,-9.53,Person_1,Static,Static
3046598,0.16,0.0,-9.49,Person_1,Static,Static
3046610,0.2,0.0,-9.49,Person_1,Static,Static
3046622,0.2,0.0,-9.53,Person_1,Static,Static
3046634,0.2,0.04,-9.49,Person_1,Static,Static
3046646,0.24,0.04,-9.53,Person_1,Static,Static
3046658,0.2,0.04,-9.57,Person_1,Static,Static
3046670,0.16,0.0,-9.53,Person_1,Static,Static
3046682,0.2,0.04,-9.57,Person_1,Static,Static
3046694,0.2,0.04,-9.49,Person_1,Static,Static
3046706,0.24,0.04,-9.53,Person_1,Static,Static
3046718,0.2,0.0,-9.57,Person_1,Static,Static
3046730,0.2,0.0,-9.57,Person_1,Static,Static
3046742,0.16,0.0,-9.53,Person_1,Static,Static
3046754,0.16,0.04,-9.57,Person_1,Static,Static
3046766,0.2,0.04,-9.53,Person_1,Static,Static
3046778,0.2,0.08,-9.53,Person_1,Static,Static
3046790,0.2,0.04,-9.57,Person_1,Static,Static
3046802,0.2,0.04,-9.53,Person_1,Static,Static
3046814,0.2,0.0,-9.49,Person_1,Static,Static
3046826,0.2,0.0,-9.49,Person_1,Static,Static
3046838,0.2,0.0,-9.49,Person_1,Static,Static
3046850,0.2,0.0,-9.53,Person_1,Static,Static
3046862,0.24,0.0,-9.49,Person_1,Static,Static
3046874,0.2,0.04,-9.53,Person_1,Static,Static
3046886,0.2,0.04,-9.53,Person_1,Static,Static
3046898,0.24,0.0,-9.57,Person_1,Static,Static
3046910,0.24,0.0,-9.53,Person_1,Static,Static
3046922,0.2,0.04,-9.57,Person_1,Static,Static
3046934,0.16,0.0,-9.57,Person_1,Static,Static
3046946,0.2,0.0,-9.53,Person_1,Static,Static
3046958,0.2,0.0,-9.57,Person_1,Static,Static
3046970,0.2,0.0,-9.57,Person_1,Static,Static
3046982,0.24,0.0,-9.57,Person_1,Static,Static
3046994,0.2,0.0,-9.53,Person_1,Static,Static
3047006,0.2,0.04,-9.57,Person_1,Static,Static
3047018,0.2,0.04,-9.53,Person_1,Static,Static
3047030,0.12,0.0,-9.57,Person_1,Static,Static
3047042,0.2,0.0,-9.53,Person_1,Static,Static
3047054,0.2,0.0,-9.53,Person_1,Static,Static
3047066,0.16,0.0,-9.53,Person_1,Static,Static
3047078,0.2,0.0,-9.49,Person_1,Static,Static
3047090,0.16,0.0,-9.57,Person_1,Static,Static
3047102,0.2,0.0,-9.53,Person_1,Static,Static
3047114,0.16,0.0,-9.49,Person_1,Static,Static
3047126,0.16,0.04,-9.61,Person_1,Static,Static
3047138,0.24,0.0,-9.53,Person_1,Static,Static
3047150,0.16,0.0,-9.53,Person_1,Static,Static
3047162,0.16,0.0,-9.53,Person_1,Static,Static
3047174,0.16,0.0,-9.53,Person_1,Static,Static
3047186,0.24,0.0,-9.53,Person_1,Static,Static
