Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
125402,0.20,0.00,-9.57
125414,0.16,0.04,-9.49
125426,0.12,0.04,-9.49
125438,0.16,0.00,-9.53
125450,0.16,0.04,-9.53
125462,0.16,0.04,-9.53
125474,0.16,0.00,-9.53
125486,0.12,0.04,-9.53
125498,0.12,0.04,-9.57
125510,0.16,0.04,-9.53
125522,0.16,0.04,-9.57
125534,0.12,0.04,-9.49
125546,0.16,0.04,-9.53
125558,0.16,0.04,-9.57
125570,0.16,0.04,-9.53
125582,0.12,0.04,-9.49
125594,0.20,0.04,-9.53
125606,0.12,0.08,-9.53
125618,0.16,0.04,-9.57
125630,0.16,0.04,-9.53
125642,0.12,0.04,-9.53
125654,0.16,0.04,-9.53
125666,0.12,0.04,-9.53
125678,0.16,0.04,-9.57
125690,0.16,0.04,-9.57
125702,0.16,0.04,-9.49
125714,0.12,0.04,-9.53
125726,0.12,0.04,-9.53
125738,0.16,0.04,-9.53
125750,0.16,0.04,-9.53
125762,0.16,0.04,-9.57
125774,0.16,0.04,-9.53
125786,0.16,0.04,-9.57
125798,0.16,0.08,-9.49
125810,0.12,0.04,-9.53
125822,0.12,0.04,-9.53
125834,0.16,0.04,-9.53
125846,0.12,0.04,-9.61
125858,0.16,0.04,-9.61
125870,0.12,0.00,-9.53
125882,0.12,0.04,-9.45
125894,0.12,0.04,-9.53
125906,0.12,0.04,-9.57
125918,0.20,0.00,-9.49
125930,0.16,0.04,-9.57
125942,0.16,0.00,-9.53
125954,0.12,0.04,-9.57
125966,0.12,0.04,-9.53
125978,0.16,0.04,-9.53
125990,0.16,0.04,-9.49
126002,0.12,0.04,-9.57
126014,0.12,0.04,-9.57
126026,0.08,0.04,-9.57
126038,0.16,0.04,-9.53
126050,0.12,0.04,-9.57
126062,0.16,0.00,-9.53
126074,0.12,0.04,-9.53
126086,0.16,0.00,-9.53
126098,0.12,0.04,-9.53
126110,0.16,0.04,-9.53
126122,0.20,0.04,-9.53
126134,0.12,0.04,-9.53
126146,0.16,0.04,-9.53
126158,0.16,0.04,-9.49
126170,0.16,0.04,-9.53
126182,0.16,0.04,-9.53
126194,0.16,0.04,-9.53
126206,0.16,0.04,-9.53
126218,0.12,0.08,-9.53
126230,0.16,0.04,-9.49
126242,0.16,0.04,-9.53
126254,0.20,0.00,-9.57
126266,0.12,0.04,-9.53
126278,0.16,0.08,-9.49
126290,0.16,0.04,-9.57
126302,0.12,0.08,-9.57
126314,0.12,0.04,-9.57
126326,0.12,0.04,-9.53
126338,0.16,0.04,-9.57
126350,0.12,0.04,-9.53
126362,0.12,0.04,-9.57
126374,0.16,0.04,-9.57
126386,0.16,0.04,-9.57
126398,0.12,0.04,-9.53
126410,0.16,0.04,-9.53
126422,0.16,0.00,-9.53
126434,0.16,0.00,-9.53
126446,0.16,0.04,-9.57
126458,0.16,0.04,-9.57
126470,0.16,0.04,-9.53
126482,0.12,0.04,-9.57
126494,0.08,0.04,-9.53
126506,0.16,0.04,-9.53
126518,0.12,0.04,-9.49
126530,0.12,0.08,-9.53
126542,0.16,0.04,-9.57
126554,0.16,0.04,-9.53
126566,0.20,0.04,-9.53
126578,0.16,0.04,-9.49
126590,0.12,0.04,-9.57
126602,0.16,0.04,-9.53
126614,0.12,0.04,-9.57
126626,0.16,0.00,-9.53
126638,0.16,0.04,-9.49
126650,0.16,0.04,-9.53
126662,0.16,0.08,-9.53
126674,0.12,0.00,-9.57
126686,0.16,0.04,-9.57
126698,0.16,0.04,-9.53
126710,0.16,0.04,-9.57
126722,0.20,0.04,-9.53
126734,0.00,-0.08,-8.98
126746,0.39,0.20,-10.90
126758,0.12,0.27,-8.39
126770,0.24,0.20,-10.47
126782,0.12,0.20,-10.08
126794,0.24,0.04,-9.45
126806,0.12,0.00,-9.73
126818,0.20,0.04,-9.49
126830,0.20,0.04,-9.57
126842,0.16,0.08,-9.30
126854,0.12,0.04,-9.73
126866,0.12,0.04,-9.45
126878,0.12,0.04,-9.73
126890,0.12,0.04,-9.41
126902,0.16,0.08,-9.53
126914,0.12,0.04,-9.57
126926,0.12,0.08,-9.61
126938,0.12,0.04,-9.49
126950,0.16,0.00,-9.45
126962,0.12,0.04,-9.49
126974,0.20,0.04,-9.57
126986,0.12,0.04,-9.61
126998,0.12,0.04,-9.49
127010,0.16,0.04,-9.57
127022,0.16,0.04,-9.53
127034,0.16,0.04,-9.61
127046,0.16,0.00,-9.53
127058,0.12,0.04,-9.49
127070,0.16,0.00,-9.53
127082,0.16,0.04,-9.49
127094,0.16,0.04,-9.61
127106,0.16,0.00,-9.49
127118,0.16,0.04,-9.53
127130,0.12,0.08,-9.53
127142,0.16,0.04,-9.53
127154,0.16,0.08,-9.49
127166,0.12,0.04,-9.53
127178,0.16,0.04,-9.53
127190,0.16,0.04,-9.61
127202,0.16,0.04,-9.49
127214,0.16,0.04,-9.53
127226,0.12,0.04,-9.53
127238,0.12,0.04,-9.61
127250,0.12,0.04,-9.49
127262,0.16,0.00,-9.53
127274,0.16,0.08,-9.53
127286,0.12,0.00,-9.57
127298,0.16,0.04,-9.57
127310,0.20,0.04,-9.53
127322,0.12,0.00,-9.49
127334,0.20,0.04,-9.49
127346,0.16,0.00,-9.53
127358,0.12,0.04,-9.53
127370,0.16,0.04,-9.53
127382,0.16,0.04,-9.57
127394,0.16,0.04,-9.53
127406,0.16,0.04,-9.61
127418,0.16,0.04,-9.53
127430,0.12,0.04,-9.49
127442,0.71,-0.04,-11.26
127454,0.63,-0.12,-10.16
127466,0.20,0.00,-9.89
127478,0.08,0.04,-8.90
127490,0.16,0.00,-9.77
127502,0.16,0.04,-9.34
127514,0.12,0.04,-9.89
127526,0.24,0.04,-9.81
127538,0.08,0.04,-9.10
127550,0.16,0.04,-9.65
127562,0.16,0.00,-9.57
127574,0.08,0.00,-9.57
127586,0.16,0.00,-9.45
127598,0.16,0.04,-9.57
127610,0.16,0.04,-9.45
127622,0.12,0.04,-9.69
127634,0.20,0.00,-9.61
127646,0.12,0.04,-9.38
127658,0.20,0.00,-9.65
127670,0.16,0.04,-9.53
127682,0.12,0.04,-9.53
127694,0.20,0.04,-9.49
127706,0.20,0.04,-9.57
127718,0.12,0.04,-9.53
127730,0.12,0.04,-9.57
127742,0.16,0.04,-9.53
127754,0.12,0.04,-9.57
127766,0.12,0.04,-9.53
127778,0.16,0.04,-9.57
127790,0.12,0.04,-9.61
127802,0.20,0.04,-9.53
127814,0.16,0.04,-9.57
127826,0.12,0.04,-9.57
127838,0.12,0.04,-9.61
127850,0.20,0.04,-9.57
127862,0.16,0.00,-9.49
127874,0.12,0.04,-9.53
127886,0.20,0.04,-9.57
127898,0.16,0.04,-9.57
127910,0.20,0.04,-9.53
127922,0.20,0.04,-9.57
127934,0.16,0.04,-9.61
127946,0.16,0.04,-9.49
127958,0.16,0.04,-9.53
127970,0.16,0.04,-9.49
127982,0.12,0.04,-9.57
127994,0.16,0.04,-9.53
128006,0.16,0.04,-9.57
128018,0.20,0.04,-9.53
128030,0.16,0.04,-9.53
128042,0.16,0.04,-9.57
128054,0.16,0.04,-9.53
128066,0.20,0.00,-9.57
128078,0.16,0.04,-9.53
128090,0.12,0.04,-9.57
128102,0.16,0.04,-9.49
128114,0.16,0.00,-9.49
128126,0.16,0.00,-9.53
128138,0.20,0.16,-8.75
128150,0.24,0.12,-10.28
128162,0.16,0.24,-8.51
128174,0.24,0.12,-10.00
128186,0.16,0.04,-9.18
128198,0.20,0.08,-9.57
128210,0.12,0.08,-9.61
128222,0.20,0.04,-9.61
128234,0.16,0.04,-9.45
128246,0.20,0.04,-9.65
128258,0.16,0.04,-9.69
128270,0.16,0.04,-9.49
128282,0.16,0.00,-9.65
128294,0.12,0.04,-9.49
128306,0.20,0.04,-9.57
128318,0.16,0.08,-9.49
128330,0.16,0.04,-9.65
128342,0.12,0.04,-9.57
128354,0.16,0.04,-9.57
128366,0.12,0.08,-9.45
128378,0.16,0.04,-9.49
128390,0.16,0.00,-9.53
128402,0.12,0.04,-9.53
128414,0.12,0.04,-9.57
128426,0.16,0.04,-9.53
128438,0.12,0.04,-9.53
128450,0.12,0.04,-9.53
128462,0.16,0.00,-9.53
128474,0.16,0.04,-9.49
128486,0.16,0.04,-9.53
128498,0.16,0.04,-9.49
128510,0.20,0.04,-9.57
128522,0.16,0.04,-9.49
128534,0.12,0.00,-9.53
128546,0.12,0.04,-9.49
128558,0.16,0.04,-9.53
128570,0.16,0.04,-9.53
128582,0.16,0.04,-9.53
128594,0.16,0.00,-9.53
128606,0.16,0.00,-9.57
128618,0.20,0.04,-9.53
128630,0.12,0.04,-9.53
