Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
2747414,0.20,0.04,-9.53
2747426,0.20,0.04,-9.53
2747438,0.16,0.04,-9.53
2747450,0.20,0.04,-9.57
2747462,0.16,0.00,-9.49
2747474,0.16,0.04,-9.57
2747486,0.20,0.04,-9.53
2747498,0.20,0.04,-9.49
2747510,0.20,0.00,-9.57
2747522,0.20,0.04,-9.57
2747534,0.20,0.00,-9.49
2747546,0.20,0.00,-9.57
2747558,0.20,0.04,-9.53
2747570,0.20,0.00,-9.53
2747582,0.20,-0.04,-9.49
2747594,0.20,-0.04,-9.57
2747606,0.20,0.00,-9.53
2747618,0.24,0.00,-9.57
2747630,0.20,0.00,-9.53
2747642,0.20,0.00,-9.53
2747654,0.20,0.04,-9.57
2747666,0.24,0.04,-9.57
2747678,0.20,0.04,-9.57
2747690,0.20,0.00,-9.53
2747702,0.20,0.00,-9.57
2747714,0.20,0.00,-9.53
2747726,0.20,0.04,-9.57
2747738,0.16,0.04,-9.53
2747750,0.20,0.04,-9.57
2747762,0.16,0.00,-9.57
2747774,0.20,0.00,-9.61
2747786,0.20,0.00,-9.53
2747798,0.20,0.04,-9.53
2747810,0.20,0.00,-9.57
2747822,0.20,0.04,-9.53
2747834,0.20,0.00,-9.49
2747846,0.16,0.04,-9.57
2747858,0.16,0.04,-9.49
2747870,0.20,0.04,-9.49
2747882,0.20,0.00,-9.57
2747894,0.20,0.04,-9.57
2747906,0.20,0.00,-9.57
2747918,0.20,0.04,-9.53
2747930,0.24,0.04,-9.53
2747942,0.20,0.04,-9.61
2747954,0.16,0.04,-9.57
2747966,0.24,0.04,-9.53
2747978,0.20,-0.04,-9.53
2747990,0.20,0.04,-9.53
2748002,0.12,0.04,-9.53
2748014,0.20,0.00,-9.53
2748026,0.20,0.00,-9.53
2748038,0.20,0.00,-9.53
2748050,0.27,0.00,-9.49
2748062,0.20,0.00,-9.53
2748074,0.20,0.04,-9.53
2748086,0.20,0.04,-9.53
2748098,0.24,0.00,-9.53
2748110,0.20,0.00,-9.53
2748122,0.20,0.00,-9.57
2748134,0.20,0.00,-9.49
2748146,0.16,0.04,-9.57
2748158,0.16,0.00,-9.53
2748170,0.16,0.04,-9.57
2748182,0.12,0.00,-9.49
2748194,0.16,0.00,-9.57
2748206,0.16,0.00,-9.53
2748218,0.20,0.00,-9.49
2748230,0.20,0.04,-9.57
2748242,0.20,0.00,-9.53
2748254,0.16,0.00,-9.53
2748266,0.16,0.04,-9.53
2748278,0.20,0.00,-9.57
2748290,0.20,0.04,-9.53
2748302,0.20,0.00,-9.57
2748314,0.24,0.00,-9.45
2748326,0.20,0.04,-9.53
2748338,0.20,0.00,-9.49
2748350,0.20,0.00,-9.49
2748362,0.20,0.04,-9.53
2748374,0.20,0.00,-9.57
2748386,0.20,0.00,-9.57
2748398,0.16,0.00,-9.57
2748410,0.20,0.00,-9.49
2748422,0.20,0.00,-9.57
2748434,0.16,0.00,-9.57
2748446,0.16,0.04,-9.53
2748458,0.20,0.00,-9.53
2748470,0.16,0.00,-9.57
2748482,0.20,0.04,-9.53
2748494,0.16,0.00,-9.53
2748506,0.20,0.00,-9.61
2748518,0.16,0.04,-9.57
2748530,0.20,0.00,-9.53
2748542,0.20,0.04,-9.53
2748554,0.16,0.04,-9.57
2748566,0.20,0.04,-9.57
2748578,0.16,0.00,-9.53
2748590,0.20,0.00,-9.61
2748602,0.16,0.00,-9.53
2748614,0.20,0.00,-9.53
2748626,0.16,0.00,-9.57
2748638,0.16,0.00,-9.57
2748650,0.20,0.00,-9.53
2748662,0.12,0.04,-9.53
2748674,0.16,0.00,-9.53
2748686,0.20,0.00,-9.53
2748698,0.20,0.04,-9.49
2748710,0.20,0.04,-9.57
2748722,0.20,0.04,-9.53
2748734,0.20,0.00,-9.53
2748746,0.20,0.00,-9.49
2748758,0.20,0.00,-9.57
2748770,0.20,0.04,-9.53
2748782,0.20,0.04,-9.53
2748794,0.20,0.04,-9.57
