Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
330450,1,0.66,0.01,18269.0
330650,1,0.71,0.03,34145.0
330850,1,0.73,0.03,14737.0
331050,1,0.74,0.02,2885.0
331250,1,0.69,0.0,12385.0
331450,1,0.67,-0.01,5508.0
331650,1,0.68,0.0,3208.0
331850,1,0.7,0.01,1448.0
332050,1,1.5,-3.84,97.0
332250,1,1.12,-3.81,80.0
332450,1,0.75,-3.77,90.0
332650,1,0.4,-3.7,73.0
332850,1,0.8500000000000001,0.03,68.0
333050,1,1.3,-3.83,65.0
333250,1,0.87,-3.78,85.0
333450,1,0.61,-3.72,58.0
333650,1,0.31,-3.66,45.0
333850,1,1.49,-3.84,85.0
334050,1,0.99,-2.49,15668.0
334250,1,0.74,-1.36,22069.0
334450,1,0.65,-0.83,1381.0
334650,1,0.55,-1.22,45.0
334850,1,0.31,-1.99,61.0
335050,1,0.25,-1.29,1637.0
335250,1,0.775,0.03,68.0
335450,1,1.3,-3.83,50.0
335650,1,0.93,-3.79,45.0
335850,1,0.57,-3.74,61.0
336050,1,0.34,-2.36,4121.0
336250,1,0.26,-1.51,5608.0
336450,1,0.24,-0.97,3313.0
336650,1,0.18,-0.77,1352.0
336850,1,0.6,-0.07,8485.0
337050,1,0.59,-0.05,5473.0
337250,1,1.3,-3.83,58.0
337450,1,0.73,-3.81,45.0
337650,1,1.29,-3.75,50.0
337850,1,0.92,-3.76,89.0
338050,1,0.45,-3.7,97.0
338250,1,0.875,0.07,84.0
338450,1,1.3,-3.83,61.0
338650,1,0.87,-2.75,985.0
338850,1,0.63,-2.42,100.0
339050,1,0.49,-1.53,1493.0
339250,1,0.44,-0.98,2404.0
339450,1,0.36,-0.78,2645.0
339650,1,1.3,-3.83,40.0
339850,1,0.73,-3.81,65.0
340050,1,0.6,0.01,52089.0
340250,1,0.625,0.08,84.0
340450,1,0.65,0.03,86.0
340650,1,0.675,0.05,69.0
340850,1,0.7,0.07,95.0
341050,1,0.725,0.05,74.0
341250,1,0.75,0.0,26010.0
341450,1,0.75,0.0,16066.0
341650,1,0.78,-1.04,61.0
341850,1,0.64,-1.31,18020.0
342050,1,0.52,-0.98,7162.0
342250,1,0.46,-0.73,19796.0
342450,1,0.38,-1.14,41.0
342650,1,0.4,-0.71,19402.0
342850,1,0.43,-0.44,5096.0
343050,1,0.41,-0.34,1813.0
343250,1,0.5333333333333333,0.1,80.0
343450,1,0.6566666666666667,0.03,59.0
343650,1,0.78,-0.15,2305.0
343850,1,0.88,-1.36,61.0
344050,1,0.7,-2.05,74.0
344250,1,0.44,-2.45,61.0
344450,1,0.1,-2.7,40.0
344650,1,0.6950000000000001,0.09,55.0
344850,1,1.29,-3.83,72.0
345050,1,0.72,-3.81,41.0
345250,1,0.53,-3.71,45.0
345450,1,0.38,-2.24,9290.0
345650,1,0.32,-1.42,17957.0
345850,1,0.3,-0.91,7177.0
346050,1,0.33,-0.56,4954.0
346250,1,0.83,-0.15,1088.0
346450,1,1.49,-3.84,100.0
346650,1,0.77,0.0,1193.0
346850,1,1.49,-3.84,50.0
347050,1,0.75,0.0,4514.0
347250,1,0.75,0.0,2089.0
347450,1,0.76,-2.02,41.0
347650,1,0.49,-2.43,41.0
347850,1,0.46,-1.43,1229.0
348050,1,0.33,-1.09,18405.0
348250,1,0.36,-0.66,23080.0
348450,1,0.29,-0.56,30722.0
348650,1,0.3333333333333333,0.11,52.0
348850,1,0.37666666666666665,0.11,59.0
349050,1,0.42000000000000004,0.04,80.0
349250,1,0.4633333333333334,0.06,72.0
349450,1,0.5066666666666667,0.07,83.0
349650,1,0.55,0.0,9521.0
349850,1,0.56,0.0,21389.0
350050,1,0.57,0.0,5570.0
350250,1,0.55,-0.58,2025.0
350450,1,0.44,-0.93,3965.0
350650,1,0.23,-1.78,61.0
350850,1,0.775,0.08,82.0
351050,1,1.32,-3.83,74.0
351250,1,0.94,-3.79,89.0
351450,1,0.57,-3.74,85.0
351650,1,0.27,-3.07,89.0
351850,1,0.6,-0.15,5780.0
352050,1,0.85,-1.97,52.0
352250,1,0.78,-2.9,73.0
352450,1,0.52,-2.4,3805.0
352650,1,0.29,-2.82,85.0
352850,1,1.49,-3.84,100.0
353050,1,1.12,-3.81,80.0
353250,1,0.75,-3.77,74.0
353450,1,0.48,-3.68,116.0
353650,1,1.0,0.08,55.0
353850,1,1.52,-3.83,65.0
354050,1,1.13,-3.81,74.0
354250,1,0.86,-3.76,61.0
354450,1,0.48,-3.7,50.0
354650,1,0.99,0.07,72.0
354850,1,1.5,-3.83,74.0
355050,1,1.12,-3.81,85.0
355250,1,0.75,-3.77,65.0
355450,1,1.03,0.1,99.0
355650,1,1.31,-3.83,50.0
355850,1,0.94,-3.79,98.0
356050,1,0.66,-3.72,85.0
356250,1,0.3,-3.66,41.0
356450,1,1.51,-3.84,41.0
356650,1,1.13,-3.81,74.0
356850,1,0.76,-3.77,65.0
357050,1,0.4,-3.7,85.0
357250,1,0.8600000000000001,0.02,60.0
357450,1,1.32,-3.83,61.0
357650,1,0.74,-1.8,65338.0
357850,1,0.7428571428571429,0.1,92.0
358050,1,0.7457142857142857,0.08,76.0
358250,1,0.7485714285714286,0.07,96.0
358450,1,0.7514285714285714,0.11,56.0
358650,1,0.7542857142857143,0.03,73.0
358850,1,0.7571428571428571,0.06,96.0
359050,1,0.76,0.16,11345.0
