Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
330450,1,0.66,0.01,56
330650,1,0.71,0.03,70
330850,1,0.73,0.03,53
331050,1,0.74,0.02,42
331250,1,0.69,0.0,51
331450,1,0.67,-0.01,44
331650,1,0.68,0.0,42
331850,1,0.7,0.01,41
332050,1,1.5,-3.84,97
332250,1,1.12,-3.81,80
332450,1,0.75,-3.77,90
332650,1,0.4,-3.7,73
332850,1,0.85,0.03,68
333050,1,1.3,-3.83,65
333250,1,0.87,-3.78,85
333450,1,0.61,-3.72,58
333650,1,0.31,-3.66,45
333850,1,1.49,-3.84,85
334050,1,0.99,-2.49,54
334250,1,0.74,-1.36,59
334450,1,0.65,-0.83,41
334650,1,0.55,-1.22,45
334850,1,0.31,-1.99,61
335050,1,0.25,-1.29,41
335250,1,0.78,0.03,68
335450,1,1.3,-3.83,50
335650,1,0.93,-3.79,45
335850,1,0.57,-3.74,61
336050,1,0.34,-2.36,43
336250,1,0.26,-1.51,44
336450,1,0.24,-0.97,42
336650,1,0.18,-0.77,41
336850,1,0.6,-0.07,47
337050,1,0.59,-0.05,44
337250,1,1.3,-3.83,58
337450,1,0.73,-3.81,45
337650,1,1.29,-3.75,50
337850,1,0.92,-3.76,89
338050,1,0.45,-3.7,97
338250,1,0.88,0.07,84
338450,1,1.3,-3.83,61
338650,1,0.87,-2.75,40
338850,1,0.63,-2.42,100
339050,1,0.49,-1.53,41
339250,1,0.44,-0.98,42
339450,1,0.36,-0.78,42
339650,1,1.3,-3.83,40
339850,1,0.73,-3.81,65
340050,1,0.6,0.01,87
340250,1,0.62,0.08,84
340450,1,0.65,0.03,86
340650,1,0.68,0.05,69
340850,1,0.7,0.07,95
341050,1,0.72,0.05,74
341250,1,0.75,0.0,63
341450,1,0.75,0.0,54
341650,1,0.78,-1.04,61
341850,1,0.64,-1.31,56
342050,1,0.52,-0.98,46
342250,1,0.46,-0.73,57
342450,1,0.38,-1.14,41
342650,1,0.4,-0.71,57
342850,1,0.43,-0.44,44
343050,1,0.41,-0.34,41
343250,1,0.53,0.1,80
343450,1,0.66,0.03,59
343650,1,0.78,-0.15,41
343850,1,0.88,-1.36,61
344050,1,0.7,-2.05,74
344250,1,0.44,-2.45,61
344450,1,0.1,-2.7,40
344650,1,0.7,0.09,55
344850,1,1.29,-3.83,72
345050,1,0.72,-3.81,41
345250,1,0.53,-3.71,45
345450,1,0.38,-2.24,48
345650,1,0.32,-1.42,56
345850,1,0.3,-0.91,46
346050,1,0.33,-0.56,44
346250,1,0.83,-0.15,40
346450,1,1.49,-3.84,100
346650,1,0.77,0.0,40
346850,1,1.49,-3.84,50
347050,1,0.75,0.0,43
347250,1,0.75,0.0,41
347450,1,0.76,-2.02,41
347650,1,0.49,-2.43,41
347850,1,0.46,-1.43,41
348050,1,0.33,-1.09,56
348250,1,0.36,-0.66,60
348450,1,0.29,-0.56,67
348650,1,0.33,0.11,52
348850,1,0.38,0.11,59
349050,1,0.42,0.04,80
349250,1,0.46,0.06,72
349450,1,0.51,0.07,83
349650,1,0.55,0.0,48
349850,1,0.56,0.0,59
350050,1,0.57,0.0,44
350250,1,0.55,-0.58,41
350450,1,0.44,-0.93,43
350650,1,0.23,-1.78,61
350850,1,0.78,0.08,82
351050,1,1.32,-3.83,74
351250,1,0.94,-3.79,89
351450,1,0.57,-3.74,85
351650,1,0.27,-3.07,89
351850,1,0.6,-0.15,45
352050,1,0.85,-1.97,52
352250,1,0.78,-2.9,73
352450,1,0.52,-2.4,43
352650,1,0.29,-2.82,85
352850,1,1.49,-3.84,100
353050,1,1.12,-3.81,80
353250,1,0.75,-3.77,74
353450,1,0.48,-3.68,40
353650,1,1.0,0.08,55
353850,1,1.52,-3.83,65
354050,1,1.13,-3.81,74
354250,1,0.86,-3.76,61
354450,1,0.48,-3.7,50
354650,1,0.99,0.07,72
354850,1,1.5,-3.83,74
355050,1,1.12,-3.81,85
355250,1,0.75,-3.77,65
355450,1,1.03,0.1,99
355650,1,1.31,-3.83,50
355850,1,0.94,-3.79,98
356050,1,0.66,-3.72,85
356250,1,0.3,-3.66,41
356450,1,1.51,-3.84,41
356650,1,1.13,-3.81,74
356850,1,0.76,-3.77,65
357050,1,0.4,-3.7,85
357250,1,0.86,0.02,60
357450,1,1.32,-3.83,61
357650,1,0.74,-1.8,99
357850,1,0.74,0.1,92
358050,1,0.75,0.08,76
358250,1,0.75,0.07,96
358450,1,0.75,0.11,56
358650,1,0.75,0.03,73
358850,1,0.76,0.06,96
359050,1,0.76,0.16,50
359250,1,0.77,0.1,47
359450,1,0.91,0.04,60
359650,1,1.05,-1.97,50
359850,1,0.9,-2.92,100
360050,1,0.6,-3.22,61
360250,1,0.11,-3.3,72
360450,1,1.49,-3.84,89
360650,1,1.12,-3.81,52
360850,1,0.55,-3.79,89
361050,1,0.34,-3.68,68
361250,1,1.49,-3.84,74
361450,1,0.89,-1.25,43
361650,1,0.76,-0.68,42
361850,1,1.0,0.04,65
362050,1,1.24,0.08,81
362250,1,1.48,-3.83,52
362450,1,1.11,-3.81,68
362650,1,0.85,-3.74,40
362850,1,0.47,-3.7,45
363050,1,0.88,0.05,93
363250,1,1.3,-3.83,74
363450,1,0.93,-3.79,74
363650,1,0.37,-3.77,52
363850,1,1.49,-3.84,74
364050,1,0.92,-3.83,52
364250,1,0.74,-3.75,65
364450,1,0.92,0.1,59
364650,1,1.11,-3.84,72
364850,1,1.0,-3.78,41
365050,1,0.68,-3.74,89
365250,1,0.14,-3.71,52
365450,1,0.75,-0.13,50
365650,1,0.73,-0.18,55
365850,1,0.69,0.06,97
366050,1,0.65,0.04,78
366250,1,0.62,0.06,75
366450,1,0.58,0.05,74
366650,1,0.54,0.05,56
366850,1,0.5,0.0,91
367050,1,0.7,0.08,99
367250,1,0.91,0.03,92
367450,1,1.11,-3.84,45
367650,1,1.12,0.05,75
367850,1,1.13,-3.84,50
368050,1,1.0,-3.78,41
368250,1,0.68,-3.74,61
368450,1,0.35,-3.68,80
368650,1,1.49,-3.84,80
368850,1,1.28,-3.8,100
