Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
330450,1,0.66,0.01,18269
330650,1,0.71,0.03,34145
330850,1,0.73,0.03,14737
331050,1,0.74,0.02,2885
331250,1,0.69,0,12385
331450,1,0.67,-0.01,5508
331650,1,0.68,0,3208
331850,1,0.7,0.01,1448
332050,1,1.5,-3.84,97
332250,1,1.12,-3.81,80
332450,1,0.75,-3.77,90
332650,1,0.4,-3.7,73
332850,0,N/A,N/A,N/A
333050,1,1.3,-3.83,65
333250,1,0.87,-3.78,85
333450,1,0.61,-3.72,58
333650,1,0.31,-3.66,45
333850,1,1.49,-3.84,85
334050,1,0.99,-2.49,15668
334250,1,0.74,-1.36,22069
334450,1,0.65,-0.83,1381
334650,1,0.55,-1.22,45
334850,1,0.31,-1.99,61
335050,1,0.25,-1.29,1637
335250,0,N/A,N/A,N/A
335450,1,1.3,-3.83,50
335650,1,0.93,-3.79,45
335850,1,0.57,-3.74,61
336050,1,0.34,-2.36,4121
336250,1,0.26,-1.51,5608
336450,1,0.24,-0.97,3313
336650,1,0.18,-0.77,1352
336850,1,0.6,-0.07,8485
337050,1,0.59,-0.05,5473
337250,1,1.3,-3.83,58
337450,1,0.73,-3.81,45
337650,1,1.29,-3.75,50
337850,1,0.92,-3.76,89
338050,1,0.45,-3.7,97
338250,0,N/A,N/A,N/A
338450,1,1.3,-3.83,61
338650,1,0.87,-2.75,985
338850,1,0.63,-2.42,100
339050,1,0.49,-1.53,1493
339250,1,0.44,-0.98,2404
339450,1,0.36,-0.78,2645
339650,1,1.3,-3.83,40
339850,1,0.73,-3.81,65
340050,1,0.6,0.01,52089
340250,0,N/A,N/A,N/A
340450,0,N/A,N/A,N/A
340650,0,N/A,N/A,N/A
340850,0,N/A,N/A,N/A
341050,0,N/A,N/A,N/A
341250,1,0.75,0,26010
341450,1,0.75,0,16066
341650,1,0.78,-1.04,61
341850,1,0.64,-1.31,18020
342050,1,0.52,-0.98,7162
342250,1,0.46,-0.73,19796
342450,1,0.38,-1.14,41
