Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
1076210,0.20,-0.04,-9.53
1076222,0.24,0.00,-9.53
1076234,0.16,-0.04,-9.57
1076246,0.20,-0.04,-9.61
1076258,0.20,0.00,-9.53
1076270,0.12,0.00,-9.53
1076282,0.16,-0.04,-9.57
1076294,0.20,0.04,-9.53
1076306,0.20,0.00,-9.53
1076318,0.16,0.00,-9.49
1076330,0.16,0.00,-9.57
1076342,0.16,0.00,-9.53
1076354,0.20,0.00,-9.53
1076366,0.20,-0.04,-9.53
1076378,0.20,0.00,-9.53
1076390,0.20,0.00,-9.53
1076402,0.20,0.00,-9.53
1076414,0.20,0.00,-9.49
1076426,0.20,0.00,-9.53
1076438,0.20,0.00,-9.53
1076450,0.20,0.00,-9.53
1076462,0.24,0.00,-9.53
1076474,0.20,0.00,-9.49
1076486,0.20,0.00,-9.53
1076498,0.20,0.04,-9.57
1076510,0.16,0.00,-9.57
1076522,0.20,0.00,-9.57
1076534,0.24,0.04,-9.53
1076546,0.24,-0.04,-9.53
1076558,0.16,0.00,-9.57
1076570,0.20,-0.04,-9.53
1076582,0.20,0.00,-9.53
1076594,0.16,0.00,-9.53
1076606,0.20,0.00,-9.57
1076618,0.20,0.00,-9.57
1076630,0.24,0.00,-9.53
1076642,0.20,0.00,-9.49
1076654,0.20,0.04,-9.53
1076666,0.20,0.00,-9.53
1076678,0.20,0.00,-9.53
1076690,0.16,0.04,-9.57
1076702,0.20,0.00,-9.53
1076714,0.24,0.00,-9.53
1076726,0.24,0.00,-9.53
1076738,0.24,-0.04,-9.53
1076750,0.20,0.00,-9.49
1076762,0.20,0.00,-9.53
1076774,0.20,0.00,-9.53
1076786,0.16,0.00,-9.53
1076798,0.20,0.00,-9.57
1076810,0.20,0.04,-9.57
1076822,0.16,0.00,-9.53
1076834,0.20,0.00,-9.53
1076846,0.20,0.00,-9.53
1076858,0.20,0.00,-9.53
1076870,0.16,0.00,-9.57
1076882,0.20,0.00,-9.57
1076894,0.20,0.00,-9.57
1076906,0.24,0.00,-9.53
1076918,0.16,0.00,-9.57
1076930,0.16,0.00,-9.53
1076942,0.16,-0.04,-9.53
1076954,0.16,0.00,-9.53
1076966,0.20,0.00,-9.57
1076978,0.16,0.00,-9.49
1076990,0.20,0.00,-9.49
1077002,0.16,0.00,-9.57
1077014,0.20,0.00,-9.53
1077026,0.20,0.00,-9.53
1077038,0.16,0.00,-9.53
1077050,0.16,0.00,-9.57
1077062,0.16,0.00,-9.53
1077074,0.20,0.00,-9.45
1077086,0.24,0.00,-9.53
1077098,0.20,0.00,-9.49
1077110,0.16,0.00,-9.57
1077122,0.16,0.00,-9.49
1077134,0.20,-0.04,-9.53
1077146,0.24,0.00,-9.49
1077158,0.20,-0.04,-9.57
1077170,0.20,0.00,-9.53
1077182,0.16,0.00,-9.53
1077194,0.20,-0.04,-9.57
1077206,0.20,0.00,-9.57
1077218,0.27,0.00,-9.57
1077230,0.16,0.00,-9.53
1077242,0.20,-0.04,-9.53
1077254,0.20,0.00,-9.57
1077266,0.24,0.04,-9.53
1077278,0.20,0.00,-9.57
1077290,0.20,0.00,-9.53
1077302,0.16,0.00,-9.57
1077314,0.16,0.00,-9.53
1077326,0.24,0.00,-9.49
1077338,0.20,0.00,-9.57
1077350,0.20,0.00,-9.57
1077362,0.16,0.00,-9.53
1077374,0.24,0.00,-9.53
1077386,0.24,0.00,-9.53
1077398,0.16,0.00,-9.53
1077410,0.16,0.00,-9.53
1077422,0.20,0.00,-9.53
1077434,0.20,0.00,-9.57
1077446,0.20,0.00,-9.53
1077458,0.20,0.00,-9.49
1077470,0.24,-0.04,-9.53
1077482,0.20,-0.04,-9.53
1077494,0.24,-0.04,-9.53
1077506,0.20,-0.04,-9.53
1077518,0.24,0.00,-9.49
1077530,0.16,0.00,-9.57
1077542,0.20,0.00,-9.53
1077554,0.20,0.00,-9.57
