Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
3611630,0.16,0.04,-9.57
3611642,0.20,0.00,-9.57
3611654,0.24,0.04,-9.53
3611666,0.16,0.00,-9.53
3611678,0.24,0.00,-9.53
3611690,0.16,0.00,-9.53
3611702,0.20,-0.04,-9.49
3611714,0.20,0.00,-9.57
3611726,0.20,0.00,-9.57
3611738,0.20,0.00,-9.53
3611750,0.16,0.00,-9.53
3611762,0.20,0.00,-9.53
3611774,0.20,0.00,-9.49
3611786,0.20,0.00,-9.57
3611798,0.20,0.00,-9.49
3611810,0.16,0.00,-9.57
3611822,0.20,0.00,-9.53
3611834,0.20,0.00,-9.53
3611846,0.24,0.00,-9.53
3611858,0.16,0.00,-9.57
3611870,0.16,0.00,-9.53
3611882,0.16,0.04,-9.53
3611894,0.24,0.00,-9.49
3611906,0.24,0.00,-9.53
3611918,0.16,0.04,-9.49
3611930,0.16,0.00,-9.49
3611942,0.16,0.04,-9.53
3611954,0.16,0.00,-9.49
3611966,0.20,0.00,-9.53
3611978,0.16,0.00,-9.57
3611990,0.16,0.00,-9.53
3612002,0.20,0.00,-9.57
3612014,0.12,0.00,-9.49
3612026,0.20,0.00,-9.49
3612038,0.16,0.00,-9.53
3612050,0.20,0.00,-9.57
3612062,0.20,0.04,-9.53
3612074,0.24,0.00,-9.57
3612086,0.20,0.04,-9.49
3612098,0.16,0.00,-9.53
3612110,0.16,0.00,-9.57
3612122,0.16,0.04,-9.53
3612134,0.20,0.00,-9.53
3612146,0.20,0.00,-9.57
3612158,0.20,0.00,-9.53
3612170,0.20,0.00,-9.57
3612182,0.20,0.00,-9.57
3612194,0.16,0.00,-9.53
3612206,0.16,0.00,-9.45
3612218,0.20,0.00,-9.49
3612230,0.20,0.00,-9.49
3612242,0.20,0.00,-9.53
3612254,0.16,0.00,-9.53
3612266,0.16,0.00,-9.61
3612278,0.16,0.00,-9.57
3612290,0.16,0.00,-9.53
3612302,0.20,0.00,-9.49
3612314,0.16,0.00,-9.49
3612326,0.16,0.04,-9.53
3612338,0.16,0.00,-9.49
3612350,0.20,0.04,-9.53
3612362,0.16,0.04,-9.57
3612374,0.20,0.04,-9.49
3612386,0.20,0.04,-9.57
3612398,0.20,0.00,-9.49
3612410,0.20,0.04,-9.49
3612422,0.20,0.04,-9.53
3612434,0.16,0.00,-9.57
3612446,0.16,0.04,-9.57
3612458,0.20,0.00,-9.53
3612470,0.16,0.00,-9.57
3612482,0.20,0.00,-9.57
3612494,0.20,0.00,-9.57
3612506,0.16,0.04,-9.53
3612518,0.20,0.04,-9.53
3612530,0.20,0.00,-9.53
3612542,0.16,0.04,-9.57
3612554,0.16,0.00,-9.53
3612566,0.20,0.00,-9.53
3612578,0.20,0.00,-9.53
3612590,0.16,0.00,-9.57
3612602,0.20,0.00,-9.57
3612614,0.16,0.04,-9.53
3612626,0.20,0.00,-9.57
3612638,0.20,0.00,-9.53
3612650,0.20,0.00,-9.53
3612662,0.20,0.04,-9.53
3612674,0.20,0.00,-9.53
3612686,0.16,0.00,-9.49
3612698,0.16,0.00,-9.53
3612710,0.16,0.00,-9.57
3612722,0.20,0.00,-9.49
3612734,0.20,0.00,-9.53
3612746,0.20,0.00,-9.57
3612758,0.16,0.04,-9.49
3612770,0.20,0.00,-9.53
3612782,0.16,0.04,-9.61
3612794,0.20,0.00,-9.53
3612806,0.24,0.00,-9.57
3612818,0.20,0.04,-9.49
3612830,0.20,0.00,-9.49
3612842,0.20,0.00,-9.53
3612854,0.16,0.04,-9.57
3612866,0.16,0.00,-9.53
3612878,0.20,0.00,-9.53
3612890,0.16,0.00,-9.53
3612902,0.20,0.00,-9.53
3612914,0.16,0.00,-9.57
3612926,0.20,0.00,-9.53
3612938,0.12,0.00,-9.57
3612950,0.20,-0.04,-9.57
3612962,0.20,0.00,-9.53
3612974,0.20,0.00,-9.57
3612986,0.12,0.00,-9.53
3612998,0.20,0.00,-9.57
3613010,0.20,0.00,-9.57
3613022,0.20,0.00,-9.57
3613034,0.12,0.04,-9.57
3613046,0.20,0.00,-9.53
3613058,0.24,0.04,-9.57
3613070,0.20,0.04,-9.53
3613082,0.16,0.00,-9.53
3613094,0.16,0.00,-9.57
3613106,0.24,0.00,-9.53
3613118,0.16,0.00,-9.49
3613130,0.16,0.00,-9.53
