Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2),Person_ID
3046082,0.16,0.0,-9.45,Person_1
3046094,0.2,0.04,-9.57,Person_1
3046106,0.16,0.0,-9.49,Person_1
3046118,0.16,0.0,-9.53,Person_1
3046130,0.16,0.04,-9.61,Person_1
3046142,0.16,0.04,-9.57,Person_1
3046154,0.2,0.04,-9.49,Person_1
3046166,0.2,0.0,-9.53,Person_1
3046178,0.2,0.0,-9.49,Person_1
3046190,0.2,0.0,-9.49,Person_1
3046202,0.2,0.0,-9.53,Person_1
3046214,0.2,0.0,-9.49,Person_1
3046226,0.2,0.04,-9.61,Person_1
3046238,0.24,0.0,-9.53,Person_1
3046250,0.16,0.04,-9.57,Person_1
3046262,0.2,0.04,-9.61,Person_1
3046274,0.16,0.04,-9.53,Person_1
3046286,0.2,0.0,-9.53,Person_1
3046298,0.24,0.0,-9.49,Person_1
3046310,0.24,0.04,-9.53,Person_1
3046322,0.2,0.0,-9.49,Person_1
3046334,0.2,0.0,-9.57,Person_1
3046346,0.24,0.0,-9.53,Person_1
3046358,0.2,0.0,-9.57,Person_1
3046370,0.2,0.0,-9.49,Person_1
3046382,0.16,0.04,-9.53,Person_1
3046394,0.16,0.04,-9.57,Person_1
3046406,0.2,0.0,-9.57,Person_1
3046418,0.2,0.04,-9.53,Person_1
3046430,0.2,0.0,-9.49,Person_1
3046442,0.2,0.0,-9.49,Person_1
3046454,0.16,0.0,-9.53,Person_1
3046466,0.24,-0.04,-9.49,Person_1
3046478,0.2,0.0,-9.53,Person_1
3046490,0.2,0.04,-9.53,Person_1
3046502,0.16,0.04,-9.49,Person_1
3046514,0.2,0.04,-9.53,Person_1
3046526,0.16,0.04,-9.57,Person_1
3046538,0.16,0.04,-9.53,Person_1
3046550,0.2,0.0,-9.53,Person_1
3046562,0.2,0.0,-9.57,Person_1
3046574,0.24,0.04,-9.53,Person_1
3046586,0.2,0.04,-9.53,Person_1
3046598,0.16,0.0,-9.49,Person_1
3046610,0.2,0.0,-9.49,Person_1
3046622,0.2,0.0,-9.53,Person_1
3046634,0.2,0.04,-9.49,Person_1
3046646,0.24,0.04,-9.53,Person_1
3046658,0.2,0.04,-9.57,Person_1
3046670,0.16,0.0,-9.53,Person_1
3046682,0.2,0.04,-9.57,Person_1
3046694,0.2,0.04,-9.49,Person_1
3046706,0.24,0.04,-9.53,Person_1
3046718,0.2,0.0,-9.57,Person_1
3046730,0.2,0.0,-9.57,Person_1
3046742,0.16,0.0,-9.53,Person_1
3046754,0.16,0.04,-9.57,Person_1
3046766,0.2,0.04,-9.53,Person_1
3046778,0.2,0.08,-9.53,Person_1
3046790,0.2,0.04,-9.57,Person_1
3046802,0.2,0.04,-9.53,Person_1
3046814,0.2,0.0,-9.49,Person_1
3046826,0.2,0.0,-9.49,Person_1
3046838,0.2,0.0,-9.49,Person_1
3046850,0.2,0.0,-9.53,Person_1
3046862,0.24,0.0,-9.49,Person_1
3046874,0.2,0.04,-9.53,Person_1
3046886,0.2,0.04,-9.53,Person_1
3046898,0.24,0.0,-9.57,Person_1
3046910,0.24,0.0,-9.53,Person_1
3046922,0.2,0.04,-9.57,Person_1
3046934,0.16,0.0,-9.57,Person_1
3046946,0.2,0.0,-9.53,Person_1
3046958,0.2,0.0,-9.57,Person_1
3046970,0.2,0.0,-9.57,Person_1
3046982,0.24,0.0,-9.57,Person_1
3046994,0.2,0.0,-9.53,Person_1
3047006,0.2,0.04,-9.57,Person_1
3047018,0.2,0.04,-9.53,Person_1
3047030,0.12,0.0,-9.57,Person_1
3047042,0.2,0.0,-9.53,Person_1
3047054,0.2,0.0,-9.53,Person_1
3047066,0.16,0.0,-9.53,Person_1
3047078,0.2,0.0,-9.49,Person_1
3047090,0.16,0.0,-9.57,Person_1
3047102,0.2,0.0,-9.53,Person_1
3047114,0.16,0.0,-9.49,Person_1
3047126,0.16,0.04,-9.61,Person_1
3047138,0.24,0.0,-9.53,Person_1
3047150,0.16,0.0,-9.53,Person_1
3047162,0.16,0.0,-9.53,Person_1
3047174,0.16,0.0,-9.53,Person_1
3047186,0.24,0.0,-9.53,Person_1
3047198,0.24,0.0,-9.53,Person_1
3047210,0.2,0.04,-9.53,Person_1
3047222,0.2,0.0,-9.49,Person_1
3047234,0.24,0.0,-9.49,Person_1
3047246,0.16,0.0,-9.53,Person_1
3047258,0.2,0.04,-9.57,Person_1
3047270,0.16,-0.04,-9.53,Person_1
3047282,0.2,0.0,-9.53,Person_1
3047294,0.2,0.04,-9.53,Person_1
3047306,0.16,0.04,-9.53,Person_1
3047318,0.2,0.0,-9.53,Person_1
3047330,0.2,0.0,-9.57,Person_1
3047342,0.16,0.0,-9.57,Person_1
3047354,0.16,0.0,-9.57,Person_1
3047366,0.2,0.0,-9.57,Person_1
3047378,0.24,0.04,-9.53,Person_1
3047390,0.2,-0.04,-9.53,Person_1
3047402,0.2,0.0,-9.57,Person_1
3047414,0.16,0.0,-9.57,Person_1
3047426,0.16,0.0,-9.57,Person_1
3047438,0.2,0.04,-9.57,Person_1
3047450,0.2,0.0,-9.57,Person_1
3047462,0.2,0.0,-9.57,Person_1
3047474,0.16,0.04,-9.49,Person_1
3047486,0.2,0.0,-9.49,Person_1
3047498,0.16,0.04,-9.53,Person_1
3047510,0.2,0.04,-9.53,Person_1
3047522,0.2,0.04,-9.57,Person_1
3047534,0.2,0.0,-9.53,Person_1
3047546,0.24,0.0,-9.49,Person_1
3047558,0.24,0.0,-9.57,Person_1
3047570,0.24,0.08,-9.53,Person_1
3047582,0.2,0.0,-9.53,Person_1
3047594,0.2,0.0,-9.57,Person_1
3047606,0.2,0.0,-9.53,Person_1
3047618,0.2,0.04,-9.57,Person_1
3047630,0.24,0.04,-9.57,Person_1
3047642,0.2,0.0,-9.57,Person_1
3047654,0.2,0.0,-9.53,Person_1
3047666,0.2,0.0,-9.53,Person_1
3047678,0.2,0.0,-9.53,Person_1
3047690,0.16,0.04,-9.49,Person_1
3047702,0.16,0.04,-9.57,Person_1
3047714,0.2,0.04,-9.61,Person_1
3047726,0.2,0.04,-9.49,Person_1
3047738,0.2,0.04,-9.53,Person_1
3047750,0.16,0.04,-9.57,Person_1
3047762,0.16,0.0,-9.49,Person_1
3047774,0.2,0.0,-9.53,Person_1
3047786,0.16,0.04,-9.53,Person_1
3047798,0.2,0.0,-9.57,Person_1
3047810,0.2,0.0,-9.53,Person_1
3047822,0.2,0.0,-9.49,Person_1
3047834,0.2,0.0,-9.49,Person_1
3047846,0.2,0.0,-9.53,Person_1
3047858,0.2,0.0,-9.57,Person_1
3047870,0.2,0.04,-9.61,Person_1
3047882,0.16,-0.04,-9.49,Person_1
3047894,0.2,0.0,-9.53,Person_1
3047906,0.2,0.0,-9.57,Person_1
3047918,0.2,0.0,-9.57,Person_1
3047930,0.16,0.04,-9.53,Person_1
3047942,0.2,0.0,-9.57,Person_1
3047954,0.2,0.04,-9.45,Person_1
3047966,0.12,0.04,-9.53,Person_1
3047978,0.2,0.0,-9.53,Person_1
3047990,0.2,0.04,-9.49,Person_1
3048002,0.2,0.04,-9.53,Person_1
3048014,0.12,0.04,-9.49,Person_1
3048026,0.2,0.0,-9.53,Person_1
3048038,0.16,0.04,-9.53,Person_1
3048050,0.2,0.04,-9.53,Person_1
3048062,0.2,0.04,-9.53,Person_1
3048074,0.2,0.04,-9.57,Person_1
3048086,0.2,0.0,-9.53,Person_1
3048098,0.2,0.0,-9.53,Person_1
3048110,0.24,0.0,-9.57,Person_1
3048122,0.2,0.0,-9.57,Person_1
3048134,0.16,0.0,-9.57,Person_1
3048146,0.16,0.0,-9.57,Person_1
3048158,0.2,0.0,-9.57,Person_1
3048170,0.2,0.04,-9.53,Person_1
3048182,0.16,0.04,-9.57,Person_1
3048194,0.24,0.0,-9.53,Person_1
3048206,0.16,0.0,-9.49,Person_1
3048218,0.16,0.0,-9.57,Person_1
3048230,0.16,0.04,-9.57,Person_1
3048242,0.2,0.04,-9.53,Person_1
3048254,0.16,0.0,-9.53,Person_1
3048266,0.2,0.04,-9.53,Person_1
3048278,0.12,0.0,-9.53,Person_1
3048290,0.16,0.04,-9.57,Person_1
3048302,0.2,0.04,-9.57,Person_1
3048314,0.2,0.0,-9.57,Person_1
3048326,0.2,0.0,-9.53,Person_1
