Distance(m)_mean,Distance(m)_std,Distance(m)_max,Distance(m)_min,Distance(m)_range,Distance(m)_skew,Distance(m)_kurtosis,Speed(m/s)_mean,Speed(m/s)_std,Speed(m/s)_max,Speed(m/s)_min,Speed(m/s)_range,Speed(m/s)_skew,Speed(m/s)_kurtosis,Energy_mean,Energy_std,Energy_max,Energy_min,Energy_range,Energy_skew,Energy_kurtosis,Distance(m)_power_mean,Distance(m)_power_std,Distance(m)_power_max,Distance(m)_power_min,Distance(m)_dominant_freq,Speed(m/s)_power_mean,Speed(m/s)_power_std,Speed(m/s)_power_max,Speed(m/s)_power_min,Speed(m/s)_dominant_freq,Energy_power_mean,Energy_power_std,Energy_power_max,Energy_power_min,Energy_dominant_freq,Label
0.6975,0.02815771906346715,0.74,0.66,0.07999999999999996,0.23087626923709476,-1.1692232773313844,0.01125,0.01457737973711325,0.03,-0.01,0.04,0.06933013843070517,-1.2319751429983756,49.875,9.93460762040598,70,41,29,1.017726629972886,0.02746528228006717,7.789200000000001,13.479512800542905,31.136400000000002,0.0009431457505076103,0,0.0035,0.0033316662497915365,0.0081,0.00015441558772842878,0,40488.0,68540.37832548052,159201.0,226.20187667855393,0,Fall
0.925,0.3632000629326566,1.5,0.4,1.1,0.21787701410273566,-0.960962839960747,-3.3025,1.347439370488653,0.03,-3.84,3.8699999999999997,2.261709905365961,3.1274789749895495,77.0,13.330952168329377,97,58,39,0.08741261497755885,-1.1875084004507812,14.576950000000002,23.214262306123363,54.760000000000005,0.41963764081466387,0,185.502,295.90057660271634,698.0164000000001,14.036,0,95596.0,163887.24508026853,379456.0,296.0,0,No Fall
0.6612500000000001,0.41909553973834107,1.49,0.25,1.24,0.9286897119712929,-0.128149842813452,-2.085,1.1473323095648569,-0.83,-3.84,3.01,-0.5936249699973246,-1.173729031673569,53.875,14.807695875552588,85,41,44,1.1750950606148847,0.42684684274906814,8.1514,11.481393249514626,27.9841,0.5428934069914859,0,78.57175,115.6484775691297,278.2224,3.020410585742747,0,47870.0,79612.10545513792,185761.0,1539.2800871653558,0,No Fall
0.575,0.3993566254436181,1.3,0.18,1.12,0.6976987477945356,-0.7934674410929019,-2.1175,1.5369055180552158,0.03,-3.83,3.86,0.004188786278644678,-1.542924501640476,49.25,9.967805317979623,68,41,27,1.0495598024209232,-0.4751537691465262,6.40635,8.627557547620299,21.159999999999997,0.103530399167762,0,87.32324999999999,116.75683000320579,286.96359999999993,4.573864150084038,0,39504.0,66818.68557521915,155236.0,640.0000000000001,0,No Fall
0.845,0.31762511595545195,1.3,0.45,0.8500000000000001,0.42104690838457787,-1.1639925726427922,-2.3625000000000003,1.9433457893907757,0.07,-3.83,3.9,0.5165102942941668,-1.7296247013924497,64.25,22.02433718801609,97,44,53,0.4900849623754979,-1.5327668795835594,12.096799999999998,19.408768705922583,45.697599999999994,0.029600000000000008,0,113.93364999999997,143.68573941152786,357.2099999999999,2.84586402691616,0,69432.0,112497.4150991924,264196.0,417.5805255430249,0,No Fall
0.765,0.36804502830108016,1.3,0.36,0.9400000000000001,0.5616938480700948,-1.1484723483445205,-2.49125,1.2835156796860723,-0.78,-3.83,3.05,0.16191176166278903,-1.550291981636655,53.875,21.16221362982346,100,40,60,1.434901890154449,0.8142920613772873,10.12575,15.796431319051148,37.4544,0.03620000000000006,0,110.2336,166.25360143687115,397.2049,1.4420854776426064,0,49197.0,78860.65389026393,185761.0,1945.0000000000005,0,No Fall
0.68375,0.056804803619814714,0.75,0.6,0.15000000000000002,-0.20957269305794696,-1.3169488758743968,0.03625,0.03113908889391045,0.08,0.0,0.08,0.06970578794161644,-1.4436881251081064,76.5,13.887301496588272,95,54,41,-0.3147628134248626,-1.0979687242798355,7.502199999999999,12.943459748846132,29.920899999999996,0.006615728752538092,0,0.027199999999999995,0.033050416033690105,0.0841,0.002808831175456857,0,94673.5,161585.48393265405,374544.0,48.258659140546534,0,Fall
0.5025,0.14007650970604804,0.78,0.38,0.4,1.100730480140975,-0.14724048169038673,-0.83625,0.34003938847475557,-0.34,-1.31,0.97,0.1625763152156529,-1.2083339689134485,50.375,8.175529690135416,61,41,20,-0.008882213497992734,-1.7185154741428812,4.172450000000001,6.922289167428648,16.160400000000003,0.0730000000000001,0,11.9659,18.940350361067768,44.756099999999996,0.08735991436517841,0,41025.0,70081.87209257469,162409.0,222.5937956643405,0,No Fall
0.59875,0.24345357433634623,0.88,0.1,0.78,-1.035994459435994,0.25775531254227424,-1.06125,1.2174966999075252,0.1,-2.7,2.8000000000000003,-0.2474902865540651,-1.6938591779978132,58.875,14.014660691066133,80,40,40,0.0228914243338446,-0.9653042787506467,6.1103000000000005,9.723028332777806,22.9441,0.19705056325865508,0,28.242100000000008,28.510264131712287,72.0801,2.1325000000000016,0,56835.0,95290.54125147994,221841.0,14.774603255583818,0,No Fall
0.5874999999999999,0.34573937335182736,1.29,0.3,0.99,1.0870571478075748,0.0339583887715591,-2.07875,1.5389090523577316,-0.15,-3.83,3.68,-0.0982291240723117,-1.641024534712661,49.0,10.515294982615968,72,40,32,1.4516918168096011,0.9242032730404826,6.352050000000001,9.130151735732547,22.090000000000003,0.17483045608758366,0,84.9909,112.36683466405911,276.5569,3.518697824729989,0,38969.5,66220.95814581665,153664.0,56.08621971351552,0,No Fall
0.87,0.40217267080553487,1.49,0.46,1.03,0.8148634743289269,-0.8450546309893552,-1.695,1.6273203214399516,0.0,-3.84,3.84,-0.19639637991161885,-1.430636532547968,49.625,20.604697799981718,100,40,60,2.166295537018351,2.8625311931322504,12.968800000000005,20.489133745963986,48.441600000000015,0.17000000000000015,0,58.96114999999999,72.78625044386816,183.87359999999995,6.253,0,41813.0,66856.45810241521,157609.0,2508.9999999999995,0,Fall
