Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2128543,0.71,0.31,-9.49
2128555,0.75,0.31,-9.53
2128567,0.71,0.31,-9.45
2128579,0.75,0.35,-9.41
2128591,0.75,0.27,-9.38
2128603,0.75,0.27,-9.49
2128615,0.75,0.27,-9.45
2128627,0.75,0.31,-9.49
2128639,0.71,0.31,-9.41
2128651,0.71,0.31,-9.45
2128663,0.71,0.27,-9.45
2128675,0.71,0.27,-9.41
2128687,0.71,0.35,-9.45
2128699,0.75,0.31,-9.41
2128711,0.75,0.39,-9.41
2128723,0.78,0.27,-9.53
2128735,0.71,0.27,-9.45
2128747,0.75,0.31,-9.49
2128759,0.75,0.31,-9.45
2128771,0.78,0.27,-9.45
2128783,0.75,0.27,-9.41
2128795,0.71,0.35,-9.49
2128807,0.71,0.35,-9.45
2128819,0.71,0.31,-9.41
2128831,0.71,0.31,-9.49
2128843,0.71,0.27,-9.45
2128855,0.71,0.31,-9.45
2128867,0.71,0.31,-9.49
2128879,0.75,0.31,-9.38
2128891,0.75,0.35,-9.45
2128903,0.75,0.31,-9.45
2128915,0.75,0.35,-9.45
2128927,0.75,0.31,-9.41
2128939,0.71,0.31,-9.45
2128951,0.75,0.35,-9.45
2128963,0.71,0.27,-9.45
2128975,0.71,0.27,-9.45
2128987,0.71,0.31,-9.49
2128999,0.75,0.31,-9.45
2129011,0.78,0.31,-9.45
2129023,0.67,0.31,-9.41
2129035,0.78,0.27,-9.41
2129047,0.75,0.27,-9.49
2129059,0.75,0.24,-9.45
2129071,0.75,0.31,-9.41
2129083,0.75,0.31,-9.41
2129095,0.78,0.27,-9.45
2129107,0.75,0.31,-9.45
2129119,0.78,0.31,-9.45
2129131,0.75,0.35,-9.49
2129143,0.75,0.27,-9.45
2129155,0.75,0.35,-9.45
2129167,0.78,0.27,-9.45
2129179,0.75,0.27,-9.49
2129191,0.78,0.27,-9.49
2129203,0.75,0.27,-9.45
2129215,0.71,0.27,-9.45
2129227,0.75,0.27,-9.45
2129239,0.71,0.35,-9.41
2129251,0.75,0.27,-9.41
2129263,0.75,0.31,-9.41
2129275,0.71,0.39,-9.41
2129287,0.78,0.27,-9.41
2129299,0.75,0.31,-9.45
2129311,0.78,0.31,-9.45
2129323,0.71,0.27,-9.41
2129335,0.75,0.27,-9.45
2129347,0.75,0.27,-9.45
2129359,0.71,0.27,-9.41
2129371,0.78,0.27,-9.45
2129383,0.71,0.31,-9.45
2129395,0.75,0.2,-9.45
2129407,0.75,0.35,-9.49
2129419,0.71,0.27,-9.38
2129431,0.71,0.27,-9.53
2129443,0.78,0.31,-9.41
2129455,0.78,0.27,-9.45
2129467,0.71,0.35,-9.45
2129479,0.75,0.27,-9.41
2129491,0.71,0.31,-9.45
2129503,0.75,0.31,-9.45
2129515,0.75,0.35,-9.41
2129527,0.75,0.31,-9.41
2129539,0.75,0.27,-9.45
2129551,0.75,0.35,-9.49
2129563,0.75,0.27,-9.45
2129575,0.71,0.31,-9.45
2129587,0.75,0.27,-9.49
2129599,0.82,0.24,-9.45
2129611,0.71,0.27,-9.45
2129623,0.75,0.27,-9.41
2129635,0.75,0.27,-9.45
2129647,0.78,0.27,-9.38
2129659,0.75,0.31,-9.45
2129671,0.71,0.35,-9.45
2129683,0.78,0.31,-9.41
2129695,0.78,0.27,-9.45
2129707,0.75,0.31,-9.41
2129719,0.75,0.27,-9.45
2129731,0.75,0.27,-9.45
2129743,0.75,0.31,-9.49
2129755,0.75,0.31,-9.45
2129767,0.75,0.31,-9.49
2129779,0.71,0.31,-9.49
2129791,0.75,0.31,-9.49
2129803,0.75,0.27,-9.45
2129815,0.71,0.27,-9.45
2129827,0.71,0.24,-9.41
2129839,0.75,0.31,-9.41
2129851,0.75,0.31,-9.41
2129863,0.75,0.31,-9.49
2129875,0.75,0.31,-9.49
2129887,0.75,0.31,-9.45
2129899,0.75,0.27,-9.45
2129911,0.75,0.27,-9.41
2129923,0.75,0.27,-9.41
2129935,0.75,0.31,-9.45
2129947,0.71,0.31,-9.45
2129959,0.75,0.27,-9.49
2129971,0.78,0.27,-9.49
2129983,0.78,0.31,-9.49
2129995,0.71,0.31,-9.45
2130007,0.78,0.27,-9.49
2130019,0.75,0.31,-9.45
2130031,0.75,0.31,-9.41
2130043,0.71,0.39,-9.49
2130055,0.71,0.31,-9.45
2130067,0.78,0.27,-9.45
2130079,0.75,0.31,-9.49
