Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
2,0.24,0.00,-9.53
14,0.20,0.00,-9.57
26,0.20,-0.04,-9.57
38,0.16,-0.04,-9.53
50,0.20,0.00,-9.49
62,0.24,0.00,-9.53
74,0.20,-0.04,-9.53
86,0.24,-0.04,-9.57
98,0.24,-0.04,-9.53
110,0.20,0.00,-9.53
122,0.24,-0.04,-9.53
134,0.16,0.00,-9.49
146,0.20,-0.04,-9.57
158,0.20,0.00,-9.49
170,0.20,-0.08,-9.53
182,0.24,-0.04,-9.49
194,0.20,0.00,-9.53
206,0.24,-0.04,-9.53
218,0.24,-0.08,-9.53
230,0.24,0.00,-9.53
242,0.24,-0.04,-9.49
254,0.24,0.00,-9.53
266,0.24,-0.08,-9.53
278,0.20,-0.04,-9.49
290,0.24,-0.04,-9.53
302,0.24,-0.04,-9.53
314,0.24,-0.04,-9.57
326,0.20,-0.04,-9.57
338,0.20,-0.04,-9.53
350,0.20,0.00,-9.57
362,0.24,-0.04,-9.57
374,0.24,-0.04,-9.53
386,0.20,0.00,-9.61
398,0.24,-0.04,-9.57
410,0.20,0.00,-9.57
422,0.16,-0.04,-9.53
434,0.24,-0.04,-9.45
446,0.20,-0.04,-9.49
458,0.20,-0.04,-9.57
470,0.20,-0.04,-9.53
482,0.24,0.00,-9.53
494,0.16,-0.04,-9.53
506,0.24,0.00,-9.57
518,0.24,-0.08,-9.53
530,0.24,-0.04,-9.53
542,0.24,-0.04,-9.53
554,0.24,-0.04,-9.53
566,0.24,0.00,-9.53
578,0.24,-0.04,-9.49
590,0.27,-0.04,-9.49
602,0.27,-0.04,-9.53
614,0.20,-0.04,-9.53
626,0.24,-0.04,-9.53
638,0.20,-0.08,-9.53
650,0.20,-0.04,-9.57
662,0.24,-0.04,-9.49
674,0.20,-0.04,-9.53
686,0.20,0.00,-9.53
698,0.20,0.00,-9.57
710,0.24,-0.04,-9.49
722,0.24,-0.04,-9.49
734,0.20,0.00,-9.49
746,0.24,-0.04,-9.49
758,0.24,-0.04,-9.49
770,0.20,-0.04,-9.53
782,0.24,0.00,-9.49
794,0.20,-0.04,-9.53
806,0.24,-0.04,-9.53
818,0.20,-0.04,-9.49
830,0.24,-0.04,-9.57
842,0.24,-0.04,-9.53
854,0.20,0.00,-9.53
866,0.24,-0.04,-9.57
878,0.27,0.00,-9.53
890,0.20,0.00,-9.57
902,0.20,-0.08,-9.53
914,0.24,0.00,-9.57
926,0.24,-0.04,-9.53
938,0.27,-0.04,-9.53
950,0.20,-0.04,-9.49
962,0.24,0.00,-9.53
974,0.20,0.00,-9.53
986,0.24,-0.04,-9.49
998,0.24,0.00,-9.53
1010,0.20,-0.04,-9.53
1022,0.24,-0.04,-9.53
1034,0.20,0.00,-9.57
1046,0.20,-0.04,-9.49
1058,0.24,-0.04,-9.53
1070,0.20,-0.04,-9.53
1082,0.24,-0.04,-9.57
1094,0.24,-0.04,-9.53
1106,0.20,-0.04,-9.49
1118,0.16,-0.04,-9.49
1130,0.20,-0.04,-9.53
1142,0.20,0.00,-9.57
1154,0.20,0.00,-9.53
1166,0.24,-0.04,-9.53
1178,0.24,-0.04,-9.53
1190,0.20,0.00,-9.53
1202,0.24,0.00,-9.53
1214,0.20,-0.04,-9.57
1226,0.20,-0.04,-9.53
1238,0.24,-0.04,-9.57
1250,0.24,-0.04,-9.53
1262,0.24,-0.08,-9.53
1274,0.20,-0.08,-9.53
1286,0.24,-0.08,-9.53
1298,0.24,0.00,-9.53
1310,0.20,-0.04,-9.53
1322,0.24,-0.04,-9.61
1334,0.24,-0.08,-9.49
1346,0.24,-0.04,-9.53
1358,0.20,-0.04,-9.53
1370,0.16,-0.04,-9.49
1382,0.16,0.00,-9.57
1394,0.16,-0.04,-9.53
1406,0.20,0.00,-9.57
1418,0.20,-0.04,-9.53
1430,0.24,-0.04,-9.49
1442,0.20,-0.04,-9.49
1454,0.24,-0.04,-9.49
1466,0.20,-0.04,-9.53
1478,0.20,-0.04,-9.49
1490,0.24,-0.04,-9.45
1502,0.20,-0.04,-9.53
1514,0.20,0.00,-9.49
1526,0.24,-0.04,-9.53
1538,0.24,-0.04,-9.57
1550,0.24,-0.04,-9.57
1562,0.24,0.00,-9.49
1574,0.20,-0.04,-9.53
1586,0.20,0.00,-9.53
1598,0.27,0.00,-9.57
1610,0.20,-0.04,-9.53
1622,0.20,-0.04,-9.57
1634,0.20,-0.04,-9.45
1646,0.20,-0.04,-9.49
1658,0.24,-0.04,-9.53
1670,0.27,-0.04,-9.53
1682,0.24,-0.04,-9.53
1694,0.24,-0.04,-9.57
1706,0.20,-0.08,-9.53
1718,0.24,0.00,-9.49
1730,0.24,0.00,-9.57
1742,0.24,0.00,-9.53
1754,0.24,-0.04,-9.53
1766,0.24,-0.04,-9.49
1778,0.20,-0.04,-9.49
1790,0.20,0.00,-9.53
1802,0.24,0.00,-9.53
1814,0.24,-0.04,-9.57
1826,0.27,-0.08,-9.53
1838,0.24,-0.04,-9.53
1850,0.20,-0.04,-9.57
1862,0.20,0.00,-9.53
1874,0.20,0.00,-9.53
1886,0.20,-0.04,-9.61
1898,0.24,0.00,-9.57
1910,0.24,-0.04,-9.49
1922,0.24,0.00,-9.49
1934,0.20,-0.04,-9.49
1946,0.24,-0.04,-9.57
1958,0.24,-0.04,-9.57
1970,0.20,-0.04,-9.57
1982,0.24,-0.08,-9.53
1994,0.24,-0.08,-9.57
2006,0.20,0.00,-9.53
2018,0.24,-0.04,-9.49
2030,0.20,0.00,-9.53
2042,0.24,-0.04,-9.57
2054,0.20,-0.04,-9.53
2066,0.24,-0.04,-9.49
2078,0.24,0.00,-9.61
2090,0.20,-0.04,-9.53
2102,0.20,0.00,-9.53
2114,0.20,0.00,-9.49
2126,0.20,0.00,-9.53
2138,0.24,-0.04,-9.49
2150,0.16,0.00,-9.53
2162,0.20,-0.04,-9.53
2174,0.24,-0.04,-9.53
2186,0.20,-0.04,-9.53
2198,0.20,-0.08,-9.53
2210,0.24,-0.08,-9.49
2222,0.24,-0.04,-9.57
2234,0.24,-0.04,-9.53
2246,0.24,-0.04,-9.53
2258,0.20,-0.04,-9.53
2270,0.24,0.00,-9.53
2282,0.24,-0.04,-9.49
2294,0.20,-0.04,-9.57
2306,0.16,-0.04,-9.57
2318,0.24,-0.04,-9.49
2330,0.20,0.00,-9.53
2342,0.24,-0.04,-9.45
2354,0.24,-0.04,-9.49
2366,0.20,-0.04,-9.53
2378,0.20,-0.04,-9.49
2390,0.20,0.00,-9.53
2402,0.24,0.00,-9.53
2414,0.27,0.00,-9.53
2426,0.24,-0.04,-9.57
2438,0.20,0.00,-9.61
2450,0.20,0.00,-9.57
2462,0.24,-0.04,-9.49
2474,0.20,0.00,-9.53
2486,0.16,-0.04,-9.53
2498,0.20,-0.04,-9.53
2510,0.20,0.00,-9.53
2522,0.24,-0.04,-9.49
2534,0.24,-0.04,-9.53
2546,0.20,-0.04,-9.49
2558,0.24,-0.04,-9.57
2570,0.20,0.00,-9.53
2582,0.24,0.00,-9.53
2594,0.20,0.00,-9.49
2606,0.24,0.00,-9.57
2618,0.20,0.00,-9.53
2630,0.24,0.00,-9.57
2642,0.24,-0.04,-9.57
2654,0.27,0.00,-9.49
2666,0.20,0.00,-9.49
2678,0.20,0.00,-9.57
2690,0.24,-0.04,-9.53
2702,0.16,0.00,-9.49
2714,0.20,0.00,-9.53
2726,0.20,-0.08,-9.49
2738,0.20,-0.04,-9.53
2750,0.20,-0.04,-9.53
2762,0.16,0.00,-9.49
2774,0.20,-0.08,-9.49
2786,0.24,0.00,-9.53
2798,0.16,-0.04,-9.53
2810,0.20,0.00,-9.49
2822,0.24,-0.04,-9.57
2834,0.20,0.00,-9.53
2846,0.20,0.00,-9.49
2858,0.24,-0.04,-9.53
2870,0.16,0.00,-9.53
2882,0.24,0.00,-9.53
2894,0.20,0.00,-9.53
2906,0.20,0.00,-9.49
2918,0.20,-0.04,-9.53
2930,0.20,-0.04,-9.57
2942,0.20,0.00,-9.53
2954,0.20,0.00,-9.49
2966,0.24,-0.04,-9.57
2978,0.24,-0.04,-9.49
2990,0.24,-0.04,-9.53
3002,0.20,-0.04,-9.53
3014,0.27,-0.04,-9.53
3026,0.24,0.00,-9.53
3038,0.27,-0.04,-9.49
3050,0.24,0.00,-9.53
3062,0.20,0.00,-9.57
3074,0.20,0.00,-9.49
3086,0.20,0.00,-9.53
3098,0.20,-0.04,-9.57
3110,0.20,0.00,-9.53
3122,0.24,-0.04,-9.53
3134,0.24,-0.04,-9.53
3146,0.24,0.00,-9.57
3158,0.27,0.00,-9.57
3170,0.20,0.00,-9.49
3182,0.16,0.00,-9.49
3194,0.24,0.00,-9.53
3206,0.24,0.00,-9.49
3218,0.24,-0.04,-9.53
3230,0.20,0.00,-9.53
3242,0.20,-0.04,-9.57
3254,0.24,-0.04,-9.53
3266,0.20,0.00,-9.53
3278,0.24,0.00,-9.45
3290,0.16,-0.04,-9.53
3302,0.20,-0.04,-9.57
3314,0.20,0.00,-9.53
3326,0.20,0.00,-9.49
3338,0.24,0.00,-9.53
3350,0.16,-0.04,-9.49
3362,0.20,-0.04,-9.49
3374,0.24,-0.04,-9.53
3386,0.20,0.00,-9.57
3398,0.20,0.00,-9.53
3410,0.27,-0.04,-9.57
3422,0.20,-0.04,-9.53
3434,0.20,-0.04,-9.53
3446,0.20,0.00,-9.45
3458,0.20,0.00,-9.53
